relu,tanh,196.801, 200.068, 200.022, 200.012, 200.011, 200.031, 200.028, 200.019, 200.034, 200.025, 10.6
relu,tanh,196.984, 200.087, 200.025, 199.972, 199.943, 199.935, 199.977, 199.979, 199.928, 199.966, 13.9333
relu,tanh,196.984, 200.087, 200.025, 199.972, 199.943, 199.935, 199.977, 199.979, 199.928, 199.966, 13.9333
50,relu,tanh,196.984, 200.087, 200.025, 199.972, 199.943, 199.935, 199.977, 199.979, 199.928, 199.966, 13.9333
58,relu,tanh,198.277, 200.066, 200.088, 200.08, 200.068, 200.07, 200.065, 200.07, 200.068, 200.076, 9.20833
66,relu,tanh,195.978, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 10.6
74,relu,tanh,197.379, 200.351, 200.351, 200.351, 200.351, 200.351, 200.351, 200.351, 200.351, 200.351, 10.6
82,relu,tanh,196.355, 200.442, 200.431, 200.441, 200.441, 200.442, 200.439, 200.444, 200.45, 200.44, 9.55833
90,relu,tanh,194.974, 200.026, 200.022, 200.016, 200.012, 200.031, 200.024, 200.016, 200.018, 200.045, 10.2917
98,relu,tanh,196.502, 198.81, 198.808, 198.805, 198.803, 198.802, 198.807, 198.794, 198.803, 198.804, 10.6
106,relu,tanh,198.504, 200.05, 200, 200.057, 200.013, 199.994, 200.05, 200.016, 200.049, 200.019, 10.6
114,relu,tanh,199.022, 200.708, 200.116, 199.999, 200.083, 200.015, 200.034, 200.021, 200.02, 200.012, 10.6167
122,relu,tanh,198.274, 200.075, 200.034, 200.017, 200.054, 200.021, 200.016, 200.036, 200.037, 200.035, 10.6
130,relu,tanh,197.27, 201.898, 200.056, 200.067, 200.03, 200.031, 200.026, 200.015, 200.011, 200.027, 10.6
138,relu,tanh,196.844, 200.038, 200.155, 200.028, 200.021, 200.018, 200.033, 200.032, 200.031, 200.023, 10.8083
146,relu,tanh,197.017, 200.021, 200.016, 200.04, 200.024, 200.047, 200.05, 200.025, 200.003, 200.004, 9.14167
154,relu,tanh,197.553, 200.005, 200.02, 200.018, 200.022, 200.015, 200.036, 200.039, 200.034, 200.061, 9
162,relu,tanh,195.13, 200.004, 200.004, 200.004, 200.004, 200.004, 200.004, 200.041, 200.047, 200.047, 10.6
170,relu,tanh,196.17, 200.038, 200.01, 200.007, 200.066, 200.125, 200.061, 200.039, 200.024, 200.013, 10.35
178,relu,tanh,193.966, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 10.6
186,relu,tanh,195.237, 198.395, 198.405, 198.387, 198.401, 198.385, 198.402, 198.393, 198.397, 198.399, 10.6
194,relu,tanh,196.504, 200.542, 200.542, 200.542, 200.542, 200.542, 200.542, 200.542, 200.542, 200.542, 9.14167
202,relu,tanh,196.422, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 9.14167
210,relu,tanh,197.864, 199.994, 199.994, 199.994, 199.994, 199.994, 199.994, 199.994, 199.994, 199.994, 9.14167
218,relu,tanh,195.565, 200.031, 200.027, 200.023, 200.033, 200.024, 200.004, 200.023, 200.025, 200.033, 9.44167
226,relu,tanh,195.029, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 10.6
234,relu,tanh,194.451, 200.044, 200.017, 200.025, 199.99, 200.032, 200.031, 200.017, 200.039, 200.041, 10.35
242,relu,tanh,194.963, 199.999, 200.021, 200.044, 200.363, 199.99, 200.018, 199.991, 200.026, 200.034, 7.475
250,relu,tanh,195.058, 200.001, 200.016, 200.001, 199.967, 199.988, 199.988, 199.986, 199.969, 199.945, 9.14167
258,relu,tanh,198.054, 200.072, 200.057, 200.057, 200.002, 199.994, 199.995, 200.005, 200.008, 200.057, 10.6
266,relu,tanh,196.294, 198.9, 198.9, 198.9, 198.9, 198.9, 198.9, 198.9, 198.9, 198.9, 10.35
274,relu,tanh,197.214, 200.043, 200.043, 200.003, 200.037, 200.035, 200.015, 200.028, 200.035, 200.04, 10.35
282,relu,tanh,195.189, 198.803, 198.803, 198.803, 198.803, 198.803, 198.803, 198.803, 198.803, 198.803, 10.6
290,relu,tanh,196.508, 200.038, 200.026, 200.061, 200.047, 200.036, 200.024, 200.017, 200.038, 200.024, 10.35
298,relu,tanh,197.639, 200.515, 200.515, 200.515, 200.515, 200.515, 200.515, 200.515, 200.515, 200.515, 9.14167
306,relu,tanh,196.846, 200.061, 200.061, 200.109, 200.104, 200.088, 200.071, 200.064, 199.985, 199.985, 10.6
314,relu,tanh,196.833, 200.032, 200.023, 200.043, 200.028, 200.023, 200.025, 200.029, 200.043, 200.018, 10.6
322,relu,tanh,197.826, 200.022, 200.054, 200.043, 200.039, 200.034, 200.01, 200.026, 200.015, 200.026, 10.6
330,relu,tanh,196.448, 200.058, 200.029, 200.043, 200.023, 200.041, 200.029, 200.015, 200.044, 200.037, 14.65
338,relu,tanh,195.825, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 10.35
346,relu,tanh,197.024, 200.062, 200.041, 200.03, 200.004, 200.017, 200.017, 199.992, 199.993, 199.993, 9.14167
354,relu,tanh,196.642, 201.624, 200.218, 200.695, 200.718, 200.004, 200.234, 200.033, 200.031, 200.061, 10.6
362,relu,tanh,196.36, 200.074, 200.072, 200.002, 200.021, 200.051, 200.012, 200.037, 200.011, 200.016, 11.2417
370,relu,tanh,196.245, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 200.337, 10.6
378,relu,tanh,197.011, 200.011, 200.059, 200.064, 200.048, 200.01, 199.987, 200.035, 200.016, 200.009, 10.6583
386,relu,tanh,198.169, 200.027, 200.033, 200.018, 200.024, 199.997, 200.029, 200.054, 200.026, 200.038, 9.73333
394,relu,tanh,196.193, 198.788, 198.788, 198.788, 198.788, 198.788, 198.788, 198.788, 198.788, 198.788, 10.6
402,relu,tanh,197.726, 200.89, 200.027, 200.029, 200.024, 200.025, 200.024, 200.024, 200.016, 200.02, 9.55833
410,relu,tanh,195.738, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 10.6
418,relu,tanh,198.87, 200.038, 200.013, 200.013, 200.013, 200.013, 200.013, 200.013, 200.013, 200.013, 10.6
426,relu,tanh,195.49, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 10.35
434,relu,tanh,196.041, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 10.35
442,relu,tanh,198.525, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 9.14167
450,relu,tanh,195.963, 200.032, 199.997, 199.988, 200.014, 199.982, 199.999, 200.023, 200.033, 199.995, 11.2833
458,relu,tanh,196.46, 200.021, 200.035, 200.02, 200.042, 200.008, 200.047, 200.008, 200.025, 200.009, 10.5083
466,relu,tanh,196.152, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 199.523, 10.6
474,relu,tanh,197.1, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 9.14167
482,relu,tanh,194.49, 200.056, 200.059, 200.056, 200.055, 200.056, 200.056, 200.056, 200.056, 200.056, 10.35
490,relu,tanh,197.908, 200.007, 200.007, 200.024, 200.031, 200.037, 200.038, 200.04, 200.031, 200.026, 12.3583
498,relu,tanh,195.242, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 10.6
506,relu,tanh,196.234, 200.053, 200.058, 200.083, 200.026, 200.028, 200.048, 200.04, 199.998, 200.045, 10.6
514,relu,tanh,195.175, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 198.709, 10.6
522,relu,tanh,194.989, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 10.6
530,relu,tanh,195.949, 200.061, 200.01, 200.043, 200.031, 200.035, 200.052, 200.055, 200.058, 200.061, 10.35
538,relu,tanh,197.04, 200.019, 200.017, 200.019, 200.019, 200.019, 200.019, 200.019, 200.019, 200.019, 10.6
546,relu,tanh,197.276, 199.998, 200.034, 200.017, 200.049, 200.01, 199.985, 199.988, 199.986, 200.034, 10.6
554,relu,tanh,193.818, 199.509, 199.509, 199.509, 199.509, 199.509, 199.509, 199.509, 199.509, 199.509, 10.6
562,relu,tanh,198.584, 200.09, 200.114, 200.111, 200.054, 200.047, 200.029, 200.005, 199.997, 199.943, 9.14167
570,relu,tanh,197.549, 200.017, 200.011, 200.054, 200.05, 200.01, 200.009, 200.041, 199.991, 199.991, 14.9667
578,relu,tanh,196.971, 200.06, 200.048, 200.057, 200.032, 200.051, 200.048, 200.056, 200.064, 200.077, 10.6
586,relu,tanh,196.916, 199.959, 199.964, 199.984, 199.981, 199.949, 199.963, 199.968, 199.96, 199.972, 10.5333
594,relu,tanh,197.413, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 199.714, 9.14167
602,relu,tanh,197.091, 200.324, 200.324, 200.324, 200.324, 200.324, 200.324, 200.324, 200.324, 200.324, 10.6
610,relu,tanh,196.316, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 199.62, 10.35
618,relu,tanh,197.318, 199.998, 200.001, 200.092, 200.074, 200.064, 200.082, 200.05, 200.068, 200.07, 10.9917
626,relu,tanh,196.959, 200.048, 200.03, 200.019, 200.028, 200.035, 200.018, 200.038, 200.02, 200.031, 10.35
634,relu,tanh,198.631, 201.152, 201.152, 201.152, 201.152, 201.152, 201.152, 201.152, 201.152, 201.152, 10.6
642,relu,tanh,197.107, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 200.528, 10.35
650,relu,tanh,196.953, 198.404, 198.392, 198.402, 198.393, 198.387, 198.385, 198.398, 198.389, 198.393, 10.6
658,relu,tanh,195.685, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 10.6
666,relu,tanh,195.474, 200.01, 200.014, 200.014, 200.014, 200.014, 200.013, 200.013, 200.013, 200.013, 10.6
674,relu,tanh,197.737, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 10.6
682,relu,tanh,197.246, 200.038, 200.026, 200.039, 200.017, 200.034, 200.033, 200.021, 200.022, 200.031, 10.8083
690,relu,tanh,197.177, 199.984, 199.987, 200.002, 200.053, 200.037, 200.068, 200.017, 199.999, 200.038, 10.6333
698,relu,tanh,195.953, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 10.6
706,relu,tanh,196.099, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 10.6
714,relu,tanh,195.867, 200.088, 200.088, 200.115, 200.092, 200.09, 200.118, 200.096, 200.11, 200.099, 10.6
722,relu,tanh,197.632, 199.924, 199.939, 199.948, 199.916, 199.937, 200.067, 200.056, 200.01, 200.048, 12.2
730,relu,tanh,196.499, 200.048, 200.034, 200.015, 200.015, 200.038, 200.056, 200.066, 200.037, 200.025, 12.4833
738,relu,tanh,198.807, 200.023, 200.037, 200.019, 203.885, 200.851, 200.035, 200.011, 200.008, 200.019, 9.95
650,relu,tanh,196.953, 198.404, 198.392, 198.402, 198.393, 198.387, 198.385, 198.398, 198.389, 198.393, 10.6
658,relu,tanh,195.685, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 10.6
666,relu,tanh,195.474, 200.01, 200.014, 200.014, 200.014, 200.014, 200.013, 200.013, 200.013, 200.013, 10.6
674,relu,tanh,197.737, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 199.537, 10.6
682,relu,tanh,197.246, 200.038, 200.026, 200.039, 200.017, 200.034, 200.033, 200.021, 200.022, 200.031, 10.8083
690,relu,tanh,197.177, 199.984, 199.987, 200.002, 200.053, 200.037, 200.068, 200.017, 199.999, 200.038, 10.6333
698,relu,tanh,195.953, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 10.6
706,relu,tanh,196.099, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 10.6
714,relu,tanh,195.867, 200.088, 200.088, 200.115, 200.092, 200.09, 200.118, 200.096, 200.11, 200.099, 10.6
722,relu,tanh,197.632, 199.924, 199.939, 199.948, 199.916, 199.937, 200.067, 200.056, 200.01, 200.048, 12.2
730,relu,tanh,196.499, 200.048, 200.034, 200.015, 200.015, 200.038, 200.056, 200.066, 200.037, 200.025, 12.4833
738,relu,tanh,198.807, 200.023, 200.037, 200.019, 203.885, 200.851, 200.035, 200.011, 200.008, 200.019, 9.95
746,relu,tanh,197.012, 200.073, 200.019, 200.068, 200.07, 200.019, 203.254, 200.172, 200.712, 200.045, 8.06667
754,relu,tanh,197.091, 199.631, 199.631, 199.631, 199.631, 199.631, 199.631, 199.631, 199.631, 199.631, 10.6
762,relu,tanh,195.915, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 199.7, 10.35
770,relu,tanh,197.962, 200.048, 200.051, 200.501, 200.038, 201.724, 200.047, 200.019, 200.03, 200.023, 10.35
778,relu,tanh,199.388, 200.706, 200.037, 200.035, 200.337, 200.11, 200.031, 200.054, 200.011, 200.034, 10.35
786,relu,tanh,194.153, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 198.816, 10.6
794,relu,tanh,197.241, 200.053, 200.053, 200.058, 200.026, 200.023, 200.024, 200.024, 200.024, 200.024, 10.6
802,relu,tanh,197.355, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 199.603, 10.6
810,relu,tanh,197.202, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 201.343, 9.14167
818,relu,tanh,196.328, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 197.988, 10.6
