58,tanh,leaky_relu,0.0184289, 0.0117483, 0.0105419, 0.00969615, 0.00905619, 0.00872804, 0.00838575, 0.00812879, 0.00793827, 0.00779397, 94.0917
66,tanh,leaky_relu,0.0190631, 0.0118458, 0.0105234, 0.00972368, 0.00920949, 0.00887608, 0.00854288, 0.00825528, 0.00805924, 0.00786413, 93.7833
74,tanh,leaky_relu,0.0191465, 0.0124352, 0.0110298, 0.0101896, 0.00957067, 0.00907291, 0.00868955, 0.00836951, 0.00816244, 0.00803617, 93.825
82,tanh,leaky_relu,0.0182381, 0.0116976, 0.0103431, 0.00938841, 0.00885208, 0.00842084, 0.00812978, 0.00782956, 0.00767944, 0.00744324, 93.1833
90,tanh,leaky_relu,0.0185655, 0.011813, 0.0103823, 0.00948323, 0.00891318, 0.00839163, 0.00810914, 0.00786925, 0.0076719, 0.00742194, 94.25
98,tanh,leaky_relu,0.0187221, 0.0125209, 0.0111787, 0.0104086, 0.00984504, 0.00948703, 0.00918041, 0.0088914, 0.00869559, 0.00848853, 92.725
106,tanh,leaky_relu,0.0173065, 0.010875, 0.00964166, 0.00889354, 0.00843877, 0.00811555, 0.00783301, 0.00771934, 0.00741853, 0.0072411, 93.9667
114,tanh,leaky_relu,0.018103, 0.0120405, 0.0106477, 0.00981464, 0.00912204, 0.00869353, 0.00842613, 0.00816728, 0.00795348, 0.0078445, 94.3583
122,tanh,leaky_relu,0.0194291, 0.0125563, 0.0109002, 0.00995367, 0.00936751, 0.00887852, 0.00846306, 0.00807649, 0.00779141, 0.00747508, 94.175
130,tanh,leaky_relu,0.019661, 0.012486, 0.0108714, 0.00998637, 0.00937562, 0.00900789, 0.00866397, 0.00834312, 0.0081134, 0.0079141, 93.4917
138,tanh,leaky_relu,0.0190462, 0.0122277, 0.0106627, 0.00988261, 0.00928431, 0.00883991, 0.00856841, 0.00821337, 0.00793623, 0.00780092, 93.9083
146,tanh,leaky_relu,0.0181766, 0.0116219, 0.010364, 0.00951981, 0.00897418, 0.00859011, 0.00822409, 0.00792973, 0.00769684, 0.00757763, 93.5417
154,tanh,leaky_relu,0.0190784, 0.0124301, 0.0109893, 0.0102981, 0.00976386, 0.00938487, 0.00903885, 0.00880967, 0.00858856, 0.00843668, 93.75
162,tanh,leaky_relu,0.0191986, 0.0121067, 0.0106049, 0.00975886, 0.00916558, 0.00876212, 0.0085136, 0.00811833, 0.00789016, 0.0077103, 94.2167
170,tanh,leaky_relu,0.0178677, 0.0115495, 0.010158, 0.00950909, 0.00891464, 0.00850018, 0.00820451, 0.0079104, 0.00769512, 0.00747425, 94.0917
178,tanh,leaky_relu,0.0191466, 0.0124073, 0.0108723, 0.00998852, 0.009414, 0.00906231, 0.00872385, 0.00839744, 0.00818849, 0.00799832, 93.65
186,tanh,leaky_relu,0.0181451, 0.011525, 0.0102036, 0.00943717, 0.00890772, 0.00846861, 0.0082136, 0.00795743, 0.00777439, 0.00768025, 94.3917
194,tanh,leaky_relu,0.017889, 0.0115667, 0.0103433, 0.00963792, 0.00909632, 0.00864323, 0.00833934, 0.0080307, 0.00784631, 0.00760902, 94.25
202,tanh,leaky_relu,0.0188283, 0.0118838, 0.0105501, 0.00973692, 0.00919739, 0.00871855, 0.00844208, 0.0082795, 0.00797803, 0.00781165, 94.0583
210,tanh,leaky_relu,0.0180911, 0.0117866, 0.0105285, 0.00988133, 0.00932841, 0.00895706, 0.00868641, 0.00833906, 0.00821276, 0.00794859, 93.6917
