470.125, 0.0707557
645.396, 0.0516606
694.062, 0.0468549
719.188, 0.0441633
736.208, 0.0423748
749.833, 0.0410192
761.417, 0.03991
770.521, 0.0390556
777.146, 0.038373
781.854, 0.0378151
78.75
0.0647298, 0.0406513, 0.0343497, 0.0304071, 0.0276147, 0.0256591, 0.0243274, 0.0233551, 0.0226056, 0.0220049, 90.3083
0.0743505, 0.049974, 0.0383232, 0.0323757, 0.029339, 0.0274041, 0.0259941, 0.0249008, 0.0240262, 0.0233095, 89.4167
0.0747959, 0.0521835, 0.0477449, 0.0456961, 0.0443455, 0.0433153, 0.0424891, 0.0418127, 0.0412489, 0.0407642, 75.3167
0.0790397, 0.0589613, 0.0440594, 0.0354197, 0.0309771, 0.0284962, 0.0269718, 0.0259282, 0.025134, 0.0244923, 89.25
0.0777562, 0.058942, 0.0506151, 0.0396615, 0.0346451, 0.0320494, 0.0305364, 0.0295636, 0.028845, 0.0282769, 83.25
0.0723166, 0.0535389, 0.0494675, 0.0476379, 0.046505, 0.0457278, 0.0451626, 0.044732, 0.0443814, 0.0440878, 65.8083
0.0619369, 0.0376052, 0.0313543, 0.0284726, 0.0267917, 0.02564, 0.0247616, 0.0240544, 0.0234446, 0.0229009, 90.075
0.074365, 0.0586837, 0.0548899, 0.0533363, 0.052481, 0.0519128, 0.0514882, 0.0511456, 0.0508648, 0.0506247, 56.9667
0.0689995, 0.0503315, 0.0466184, 0.0450482, 0.0440635, 0.0433356, 0.0427554, 0.0422833, 0.041886, 0.0415464, 66.6667
0.0716996, 0.0487124, 0.0432987, 0.0408577, 0.0393824, 0.038362, 0.0375918, 0.0369659, 0.0364459, 0.0359942, 75.4167
0.0727465, 0.0536698, 0.0491672, 0.0474634, 0.0464819, 0.0457966, 0.0452622, 0.0448221, 0.0444511, 0.0441356, 65.125
0.0699352, 0.0453669, 0.0364011, 0.0316943, 0.029327, 0.0278077, 0.0266513, 0.0256948, 0.024885, 0.0241984, 89.275
0.0744149, 0.0516986, 0.0398794, 0.0343336, 0.0314224, 0.0296799, 0.0284549, 0.0275001, 0.026718, 0.0260527, 88.1417
0.0699593, 0.0441272, 0.0375011, 0.0344909, 0.032527, 0.0311006, 0.0300435, 0.0292451, 0.0286114, 0.0280898, 82.85
0.0673583, 0.0445173, 0.0357307, 0.0318391, 0.0293476, 0.0273617, 0.0256393, 0.0243607, 0.0234971, 0.0228151, 89.575
0.0698411, 0.0440906, 0.0365153, 0.0315577, 0.028383, 0.0263953, 0.0250009, 0.0239414, 0.0231102, 0.0224259, 89.775
0.077232, 0.0488551, 0.0400483, 0.0361605, 0.0341239, 0.032855, 0.0319879, 0.0313628, 0.0308639, 0.0304412, 82.0083
0.079994, 0.0561079, 0.0449406, 0.0402507, 0.0380323, 0.0366703, 0.0356741, 0.0348565, 0.0341742, 0.0336004, 79.8917
0.0744969, 0.0488939, 0.0387407, 0.0349898, 0.0331041, 0.0319607, 0.0311713, 0.0305771, 0.0300974, 0.0296906, 81.5
0.0780357, 0.0536791, 0.0424389, 0.0373526, 0.0345713, 0.0328195, 0.0316718, 0.030831, 0.0301674, 0.0296187, 81.3917
0.0758433, 0.0505846, 0.0388584, 0.0343577, 0.0323912, 0.0312064, 0.0303673, 0.0297051, 0.0291324, 0.028583, 82.7583
0.0594228, 0.0382947, 0.0338909, 0.0319276, 0.0306986, 0.0298028, 0.0291064, 0.0285308, 0.0280336, 0.0275984, 82.8333
0.0688191, 0.0411954, 0.0346746, 0.0320729, 0.0305808, 0.0295674, 0.0288005, 0.0281818, 0.0276615, 0.0272134, 82.775
0.073394, 0.0530071, 0.0415192, 0.0365957, 0.0342056, 0.0326559, 0.0315131, 0.0306259, 0.0299161, 0.0293395, 81.4667
0.0701434, 0.0431298, 0.0343462, 0.0305814, 0.0283827, 0.0267917, 0.0255317, 0.0244815, 0.0236213, 0.022905, 90.35
0.0675048, 0.046976, 0.0376822, 0.0332433, 0.0304815, 0.0284281, 0.0268259, 0.0255512, 0.0245141, 0.023659, 89.05
0.0763019, 0.0514342, 0.0441244, 0.0409973, 0.0390758, 0.0376209, 0.0364334, 0.0355108, 0.034785, 0.0341823, 78.925
0.0693096, 0.0431825, 0.0337967, 0.0292081, 0.0266846, 0.0251578, 0.0241239, 0.0233612, 0.0227693, 0.0222874, 90.2833
0.0758789, 0.0506584, 0.0394938, 0.0356067, 0.0335607, 0.0322616, 0.0313579, 0.0306888, 0.030163, 0.0297327, 82.2833
0.0690757, 0.0439853, 0.034567, 0.0306272, 0.0281501, 0.0264656, 0.0252385, 0.024273, 0.0234696, 0.0228024, 90.025
0.0636633, 0.0368722, 0.0310079, 0.0284349, 0.0267977, 0.0255631, 0.0246125, 0.0238738, 0.0232858, 0.0227918, 90.175
0.0649381, 0.0493883, 0.0463348, 0.0446796, 0.0435442, 0.0427389, 0.0421774, 0.0417591, 0.0414301, 0.0411648, 66.9167
0.0711259, 0.0418175, 0.0333438, 0.0301319, 0.0283391, 0.0270495, 0.0260162, 0.0251548, 0.0244251, 0.0238027, 89.6
0.0785527, 0.056358, 0.0489428, 0.0459431, 0.0443272, 0.0432398, 0.0424389, 0.0418371, 0.0413636, 0.040981, 72.025
0.0694399, 0.045524, 0.0356333, 0.0308256, 0.0277629, 0.0255776, 0.0239568, 0.0227331, 0.021783, 0.0210185, 90.4917
