sigmoid,sigmoid,199.789, 200.003, 200.046, 200.06, 200.029, 199.987, 200.002, 200.012, 200.029, 200.038, 10.35
sigmoid,sigmoid,199.789, 200.003, 200.046, 200.06, 200.029, 199.987, 200.002, 200.012, 200.029, 200.038, 10.35
50,sigmoid,sigmoid,199.789, 200.003, 200.046, 200.06, 200.029, 199.987, 200.002, 200.012, 200.029, 200.038, 10.35
58,sigmoid,sigmoid,199.707, 200.047, 200.003, 200.054, 200.013, 200, 200.001, 200.036, 200.037, 200.029, 10.6
66,sigmoid,sigmoid,199.858, 200.004, 199.742, 200.079, 200.127, 200.018, 200.078, 199.99, 199.956, 200.033, 10.325
74,sigmoid,sigmoid,199.896, 200.022, 200.033, 200.029, 200.033, 200.034, 200.021, 200.028, 200.028, 200.03, 10.6
82,sigmoid,sigmoid,199.924, 200.018, 200.025, 200.033, 200.015, 200.018, 200.033, 200.034, 200.039, 200.037, 10.6
90,sigmoid,sigmoid,199.875, 200.043, 200.018, 200.023, 200.051, 200.045, 200.027, 200.013, 200.024, 200.011, 10.85
98,sigmoid,sigmoid,199.878, 200.031, 200.067, 200.033, 200.028, 200.028, 200.03, 200.012, 200.022, 200.027, 10.8083
106,sigmoid,sigmoid,199.948, 200.067, 200.066, 200.066, 200.07, 200.067, 200.066, 200.066, 200.067, 200.067, 10.6
