seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
5,relu,relu,0,interleave,512,0.003,10,ce,ok,2147.47,54.04,48.56,47.0983,49.38,48.1549,48.86,8,1.84642|1.65825|1.57169|1.51809|1.47131|1.42772|1.38662|1.35395|1.31664|1.28334,32.8511|40.4778|43.4556|45.7622|47.2622|48.9689|50.2289|51.4733|52.8844|54.04,38.54|42.46|43|45.48|46.82|46.5|47.46|48.86|48.22|48.56,37.097|41.0794|42.3414|44.068|46.6015|45.3434|46.9835|49.0092|47.6895|47.0983,386|25|84|6|37|20|33|36|344|29|18|551|18|6|12|29|24|20|173|149|50|17|379|26|176|90|108|75|63|16|23|10|100|146|82|286|164|69|58|62|41|8|122|17|465|53|114|102|59|19|14|10|85|55|75|483|106|97|48|27|8|11|65|24|168|56|574|38|32|24|19|12|56|24|64|93|35|598|45|54|28|41|6|6|18|20|10|15|819|37|14|132|9|12|9|24|28|45|190|537
1,relu,relu,0,interleave,512,0.003,10,ce,ok,2147.49,53.8133,48.16,48.1877,49.22,49.3374,48.58,7,1.84335|1.65452|1.57374|1.51486|1.46964|1.43116|1.39023|1.35323|1.315|1.28941,33.1022|40.6956|43.7667|45.82|47.1844|48.6933|50.1022|51.54|52.6578|53.8133,38.26|40.26|44.26|46.74|42.94|48.02|48.58|47.18|47.92|48.16,37.098|39.3672|43.595|46.2648|40.7697|46.608|47.3395|46.4819|46.7884|48.1877,652|24|87|26|38|3|10|18|87|55|50|509|26|39|13|10|6|11|34|302|84|12|472|115|158|30|46|35|24|24|34|13|137|441|90|94|90|24|20|57|56|14|209|77|488|19|55|41|20|21|35|12|159|326|95|245|49|33|17|29|12|19|137|114|194|16|460|11|11|26|62|23|113|100|135|34|16|458|9|50|175|62|27|37|25|7|5|10|536|116|64|104|17|52|16|10|11|37|28|661
4,relu,relu,0,interleave,512,0.003,10,ce,ok,2147.49,54.1956,47.08,45.8,48.51,47.3835,49.02,9,1.84418|1.65717|1.5737|1.5141|1.46126|1.42115|1.37951|1.34622|1.31085|1.27921,32.8333|40.5667|43.84|45.7756|47.52|49.1444|50.1978|51.6756|52.86|54.1956,38.32|41.22|44.06|45.94|47.88|42.88|47.44|47.2|49.02|47.08,37.9955|39.1013|42.7147|44.6356|47.5256|42.5273|47.2061|46.3|48.1268|45.8,594|39|26|5|68|5|33|14|110|106|25|530|5|14|23|0|21|15|63|304|101|16|250|63|241|33|184|40|17|55|57|17|73|280|134|58|218|30|26|107|53|7|67|28|550|13|175|42|25|40|27|16|72|259|127|192|147|58|25|77|9|11|32|36|147|12|672|7|8|66|42|12|43|48|157|20|60|482|15|121|146|41|10|15|45|6|20|4|557|156|31|90|9|23|20|2|26|17|38|744
6,relu,relu,0,interleave,512,0.003,10,ce,ok,2147.73,54.0867,49.16,48.3006,50.53,49.8476,49.32,9,1.84264|1.65594|1.57272|1.51905|1.47178|1.42485|1.38441|1.34549|1.31345|1.27967,32.9022|40.66|43.54|45.4844|47.0311|48.7533|50.4444|51.6133|53.04|54.0867,34.6|44.66|43.96|45.58|46.8|46.68|47.6|47.96|49.32|49.16,33.6896|43.196|43.0503|44.6634|45.6561|45.9888|47.5605|46.9708|48.5789|48.3006,441|44|160|15|51|12|18|45|165|49|24|646|11|15|15|24|17|21|89|138|27|15|414|38|212|76|95|72|26|25|22|18|101|184|116|245|152|82|26|54|42|12|123|19|492|39|116|116|25|16|11|10|121|108|99|418|83|99|27|24|1|19|62|42|159|56|576|49|18|18|20|23|63|25|92|57|26|623|21|50|73|50|26|15|38|21|9|21|681|66|20|185|19|27|17|8|17|50|79|578
2,relu,relu,0,interleave,512,0.003,10,ce,ok,2147.99,53.7222,48.62,47.6623,49.14,48.3051,49.12,9,1.84528|1.65675|1.5734|1.5158|1.46538|1.42468|1.38437|1.34877|1.31164|1.28256,32.8867|40.5511|43.4156|45.5733|47.3511|48.7378|50.1689|51.4111|52.5711|53.7222,38.62|43.62|44.36|43.34|47.16|45.82|46.96|46.58|49.12|48.62,36.8454|42.6347|43.7615|41.4359|46.6387|45.6696|44.9344|46.5884|48.1141|47.6623,627|31|26|10|17|7|13|15|189|65|52|644|21|18|9|7|13|7|73|156|165|12|263|98|212|36|107|27|56|24|83|19|75|378|80|83|128|18|66|70|105|17|74|56|491|20|100|49|67|21|80|14|83|251|72|258|96|40|70|36|34|17|50|90|168|18|558|5|30|30|111|24|54|75|107|21|58|424|36|90|125|59|7|20|9|6|5|5|671|93|52|199|11|27|8|9|19|14|61|600
3,relu,relu,0,interleave,512,0.003,10,ce,ok,2148.71,53.74,47.92,47.5408,49.42,48.9781,48.52,8,1.84282|1.6588|1.57614|1.51813|1.4762|1.43018|1.38777|1.35269|1.31769|1.28777,32.8333|40.4822|43.3067|45.3733|47.04|49.0089|50.1156|51.3578|52.5911|53.74,39.64|39.66|43.88|45.44|45.94|47.28|48.28|48.52|48.2|47.92,38.0889|36.6191|42.7539|44.3927|45.9361|46.2086|47.8377|48.2783|48.1741|47.5408,532|58|63|32|19|25|23|85|87|76|36|717|14|20|4|32|17|20|26|114|70|21|280|91|126|148|95|137|11|21|17|23|56|314|20|308|117|80|13|52|48|14|90|83|347|89|124|173|14|18|20|15|48|184|33|478|73|105|22|22|7|16|48|91|86|91|586|41|8|26|25|24|24|44|42|119|27|655|4|36|86|133|13|42|16|25|9|43|504|129|25|258|12|25|9|36|20|67|19|529
7,relu,relu,0,interleave,512,0.003,10,ce,ok,1588.54,53.8844,50.4,49.975,50.82,50.5222,50.4,10,1.84276|1.65688|1.57467|1.51424|1.46535|1.42185|1.38102|1.34454|1.31318|1.28203,32.76|40.28|43.5378|45.5289|47.5956|49.0178|50.2378|51.7244|52.9578|53.8844,38.16|43.42|42.84|42.3|42.72|44.54|47.2|47.62|47.62|50.4,36.3385|42.3222|42.2479|41.443|41.775|44.4993|46.585|47.0684|46.5594|49.975,628|46|44|16|30|18|20|21|122|55|46|616|14|21|2|20|15|17|59|190|111|14|389|69|90|102|120|55|29|21|55|13|101|321|43|184|156|40|27|60|68|10|208|52|364|48|139|59|29|23|34|12|105|225|48|382|94|56|22|22|11|16|106|84|68|51|623|13|12|16|45|11|70|61|81|65|34|533|15|85|103|90|13|30|18|14|11|13|638|70|41|198|12|29|5|23|30|23|51|588
10,relu,relu,0,interleave,512,0.003,10,ce,ok,1588.86,53.8378,48.74,47.8435,49.31,48.7068,49.76,9,1.84389|1.65466|1.57333|1.51531|1.46613|1.42377|1.38506|1.34852|1.31503|1.28604,32.9022|40.5622|43.54|45.6867|47.36|48.8378|50.1356|51.7422|52.6444|53.8378,35.34|43.52|39.36|42.92|45.82|48.04|49.48|48.66|49.76|48.74,32.9691|42.716|39.2485|42.4068|45.1208|47.2967|48.6922|48.6717|49.5116|47.8435,493|52|44|42|49|11|57|73|114|65|23|629|8|39|10|11|28|30|45|177|51|16|313|140|130|30|171|115|16|18|13|20|54|426|84|84|205|62|16|36|33|12|121|71|398|14|187|130|22|12|6|13|78|342|75|198|158|102|18|10|2|10|52|79|98|24|695|24|3|13|19|16|26|100|78|43|55|617|8|38|71|89|17|50|32|10|35|24|598|74|24|171|9|60|12|13|37|62|48|564
8,relu,relu,0,interleave,512,0.003,10,ce,ok,1590.87,54.0333,49.58,48.2739,49.94,48.6515,49.58,10,1.84664|1.65863|1.57548|1.51635|1.4667|1.42623|1.38885|1.35285|1.31881|1.28347,32.9756|40.3333|43.5|45.8956|47.1956|48.8844|50.0756|51.5867|52.4978|54.0333,35.6|42.06|43|43.4|45.12|46.34|48.42|47.8|49.12|49.58,35.5282|40.6526|42.199|41.2288|42.8499|45.5429|47.4261|47.316|48.7503|48.2739,584|24|51|9|27|6|39|40|162|58|51|549|12|17|19|7|17|44|106|178|92|15|386|56|143|25|152|87|29|15|43|15|110|272|71|59|267|75|22|66|61|8|136|31|455|15|151|106|23|14|41|10|119|253|82|164|160|116|23|32|8|13|70|38|120|6|668|37|17|23|40|8|71|43|69|18|57|627|13|54|94|53|12|23|17|7|21|33|690|50|39|123|10|28|12|11|33|62|83|599
9,relu,relu,0,interleave,512,0.003,10,ce,ok,1596.8,53.8822,48.8,47.9539,48.84,47.8853,49.24,8,1.84572|1.66322|1.5758|1.51775|1.46957|1.42892|1.38782|1.34757|1.31368|1.28017,33.1356|40.2889|43.3733|45.5378|47.3467|48.9311|50.06|51.6133|52.8578|53.8822,36.4|42.72|42.18|46.86|46.56|47.4|46.64|49.24|47.3|48.8,33.4315|41.6694|40.4492|45.4605|45.8966|46.5937|46.0293|48.5851|47.1457|47.9539,470|55|30|17|37|16|84|27|216|48|19|697|16|9|7|9|37|15|97|94|70|25|289|77|112|74|255|55|35|8|20|31|71|276|33|164|297|42|40|26|34|20|129|40|309|45|311|60|45|7|13|10|63|207|49|337|214|61|37|9|6|11|47|29|45|20|808|13|10|11|26|25|57|55|81|65|106|527|19|39|61|73|5|19|15|8|57|15|702|45|24|233|13|31|13|18|61|51|87|469
