seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
1,relu,relu,0,interleave,64,0.001,10,ce,ok,41.483,97.5222,96.88,96.8754,96.64,96.5992,96.88,10,0.712598|0.288914|0.224015|0.181934|0.152667|0.131806|0.11616|0.102518|0.0918447|0.0831861,80.5333|91.7067|93.5311|94.8467|95.6822|96.2133|96.5889|97.0822|97.3756|97.5222,90.68|92.3|93.98|94.94|95.12|95.4|95.96|96.14|96.06|96.88,90.5762|92.228|93.951|94.9217|95.094|95.3844|95.9578|96.1346|96.0667|96.8754,948|0|0|1|1|2|4|0|6|1|0|1146|2|1|3|2|0|2|7|1|3|5|924|8|10|1|6|3|9|0|0|4|5|977|1|26|0|10|7|3|0|0|4|1|966|1|6|3|3|10|1|2|5|5|0|844|5|1|4|2|3|1|0|0|1|6|972|0|8|0|2|1|5|4|6|1|0|1016|1|9|2|5|2|7|4|7|1|4|948|2|2|4|2|7|21|14|0|13|4|923
2,relu,relu,0,interleave,64,0.001,10,ce,ok,41.4903,97.6267,96.5,96.4859,96.57,96.5281,96.54,8,0.739714|0.286241|0.216343|0.17274|0.144543|0.124538|0.108401|0.0963395|0.0870535|0.0789023,79.1111|91.7933|93.82|94.9689|95.8022|96.3378|96.8267|97.1333|97.3889|97.6267,90.88|93.34|94.6|95.46|95.38|96.04|96.2|96.54|96.28|96.5,90.7818|93.3079|94.5831|95.4433|95.3634|96.0251|96.1888|96.5333|96.2741|96.4859,951|0|0|1|1|3|2|0|3|2|0|1150|2|1|2|0|1|3|3|2|5|6|922|9|4|1|6|7|7|2|1|3|7|992|0|14|0|9|2|5|3|1|4|0|938|2|8|1|2|35|2|2|4|8|0|827|8|1|4|13|5|1|0|0|2|3|975|0|5|0|2|1|5|4|4|3|0|1005|1|20|6|4|3|13|3|7|3|0|934|9|2|0|1|7|7|3|0|7|0|963
3,relu,relu,0,interleave,64,0.001,10,ce,ok,41.7927,97.6978,96.56,96.5582,96.74,96.6922,96.76,9,0.705606|0.285661|0.218876|0.17661|0.149453|0.12929|0.11344|0.10032|0.0900226|0.0804272,80.6956|91.7133|93.7511|94.82|95.6444|96.1978|96.6444|97.0733|97.34|97.6978,90.08|93.04|94.08|94.68|95.68|95.74|96.4|96.32|96.76|96.56,89.9856|92.9718|94.0402|94.6625|95.6689|95.7284|96.3847|96.3091|96.7575|96.5582,952|0|1|1|1|1|3|0|3|1|0|1153|2|0|3|0|0|3|2|1|3|3|934|6|1|1|8|7|5|1|0|2|6|990|1|14|0|13|6|1|4|0|5|1|935|1|12|4|1|31|0|1|4|12|1|833|7|0|5|6|3|1|0|0|1|6|978|0|2|0|1|0|9|0|2|2|0|1018|0|13|2|6|7|11|0|13|10|1|926|6|3|2|1|5|8|2|0|13|1|955
4,relu,relu,0,interleave,64,0.001,10,ce,ok,41.7916,97.62,96.78,96.7772,96.67,96.6357,96.78,10,0.72812|0.290178|0.225297|0.182003|0.153352|0.132516|0.116094|0.103022|0.0921784|0.0829317,80.6089|91.7911|93.4933|94.7756|95.5689|96.24|96.6778|97.0044|97.4022|97.62,90.68|92.3|94.3|95.18|95.56|95.96|96.18|96.62|96.42|96.78,90.6314|92.2491|94.2822|95.1553|95.5464|95.9465|96.1769|96.6183|96.4178|96.7772,950|0|0|1|1|1|1|0|7|2|0|1142|6|2|3|1|0|3|6|1|5|3|922|9|5|1|2|11|10|1|1|3|3|984|1|20|1|10|7|3|0|0|6|0|958|1|1|1|4|23|1|1|4|8|1|836|8|0|5|5|8|1|2|1|4|6|959|0|10|0|0|0|5|4|7|1|1|1013|3|11|5|6|2|6|1|6|1|0|953|2|2|2|0|5|14|4|0|10|3|950
5,relu,relu,0,interleave,64,0.001,10,ce,ok,41.7932,97.5089,96.82,96.8163,96.73,96.6866,96.88,9,0.70544|0.289077|0.224828|0.184327|0.155211|0.134041|0.11724|0.104578|0.0936514|0.0847515,81.1756|91.6356|93.6067|94.68|95.4511|96.0644|96.5489|96.9044|97.2689|97.5089,90.14|92.34|93.6|94.32|95.64|95.92|96.16|96.46|96.88|96.82,90.0296|92.3079|93.5586|94.2879|95.6277|95.9144|96.1375|96.4482|96.8816|96.8163,947|0|1|1|1|2|5|0|5|1|0|1154|3|2|2|0|1|1|0|1|4|3|936|7|5|0|3|3|7|1|1|4|6|990|1|14|1|7|5|4|0|1|4|0|962|2|5|0|2|18|2|1|7|15|0|828|7|0|5|4|6|1|1|3|1|7|970|0|2|0|0|3|12|8|7|1|0|1000|2|12|3|7|2|13|3|11|1|1|938|3|5|2|1|8|10|5|0|10|1|948
6,relu,relu,0,interleave,64,0.001,10,ce,ok,41.7964,97.6156,96.62,96.6195,96.56,96.5271,96.62,10,0.733469|0.278757|0.210058|0.17039|0.143333|0.12417|0.110091|0.098187|0.0884982|0.0807608,79.1667|92.0378|93.9689|95.1444|95.8667|96.4556|96.8133|97.1356|97.4489|97.6156,90.68|93.42|94.58|95.18|95.58|95.88|96.6|96.48|96.52|96.62,90.6232|93.3878|94.5723|95.1799|95.5673|95.89|96.5903|96.4787|96.5096|96.6195,951|0|0|1|1|1|2|0|6|1|0|1142|4|2|4|1|2|3|4|2|3|2|932|1|5|2|2|4|15|3|2|3|7|980|1|11|1|12|7|9|3|0|6|0|944|1|8|2|2|28|1|1|4|11|1|825|10|0|8|8|8|1|0|0|3|5|971|0|3|0|1|1|6|3|4|0|0|1008|1|21|6|4|0|13|2|4|3|1|945|4|4|0|1|6|9|0|0|9|3|958
7,relu,relu,0,interleave,64,0.001,10,ce,ok,41.0559,97.6667,96.7,96.6993,96.59,96.5558,96.7,10,0.70286|0.28921|0.227284|0.18062|0.15039|0.129075|0.112277|0.0998621|0.089735|0.0800076,80.8511|91.5067|93.3222|94.7378|95.6267|96.2244|96.74|97.0867|97.3444|97.6667,90.12|92.76|93.82|94.68|95.32|95.86|96.02|96.36|96.34|96.7,90.0603|92.7168|93.7962|94.6538|95.2929|95.8597|96.013|96.3499|96.3341|96.6993,934|0|0|1|1|3|5|0|14|5|0|1143|4|0|5|0|0|1|10|1|3|2|919|15|8|3|4|2|11|2|1|3|2|985|1|19|0|9|12|1|0|0|4|1|960|1|5|1|5|17|0|1|4|2|0|847|2|0|9|4|3|1|0|0|2|12|966|0|7|0|1|2|7|6|6|1|0|1009|1|12|1|4|1|11|0|7|2|0|951|5|3|0|0|9|16|6|0|9|2|945
8,relu,relu,0,interleave,64,0.001,10,ce,ok,41.0596,97.7089,96.96,96.9554,96.68,96.6427,96.96,10,0.720777|0.293505|0.227399|0.182232|0.150853|0.12783|0.112212|0.0979225|0.0878051|0.0786202,80.8311|91.64|93.5|94.7289|95.6578|96.3267|96.7511|97.18|97.5044|97.7089,89.92|92.28|94.04|94.94|95.32|96.16|96.44|96.3|96.58|96.96,89.8624|92.229|94.0272|94.9308|95.3048|96.1568|96.4354|96.301|96.5729|96.9554,945|0|0|1|1|0|4|0|8|4|0|1151|4|0|3|0|0|1|4|1|2|1|931|7|6|0|7|7|7|1|0|4|6|992|1|9|0|11|5|5|0|0|7|0|948|1|8|1|2|27|0|1|3|22|0|814|9|1|10|9|5|1|0|1|3|2|977|0|2|0|3|2|7|1|5|0|1|1008|1|17|6|6|2|9|2|1|4|1|944|7|4|2|0|5|11|0|0|9|1|958
9,relu,relu,0,interleave,64,0.001,10,ce,ok,39.5875,97.6978,96.74,96.745,96.79,96.75,96.76,9,0.71523|0.288558|0.218912|0.175162|0.145311|0.123352|0.108152|0.0961565|0.0867687|0.0785596,79.8667|91.6044|93.72|94.9667|95.8689|96.4244|96.8444|97.2911|97.4667|97.6978,89.66|93.02|93.64|94.78|95.7|96.14|96.24|96.36|96.76|96.74,89.6005|93.0088|93.6193|94.7659|95.6897|96.1269|96.2342|96.3494|96.7571|96.745,947|0|2|1|2|2|5|1|2|1|0|1152|2|0|3|0|1|1|5|0|0|3|943|3|6|0|4|4|6|0|0|1|9|991|0|19|0|10|2|1|0|1|8|0|966|0|9|2|1|7|0|2|8|8|0|837|4|0|5|5|2|1|1|0|1|7|977|0|2|0|0|3|9|2|6|0|1|1017|1|6|2|8|6|17|5|7|7|0|926|4|4|2|1|9|24|4|1|20|2|923
10,relu,relu,0,interleave,64,0.001,10,ce,ok,39.5909,97.78,96.8,96.8019,96.89,96.8565,96.8,10,0.736758|0.282869|0.216288|0.17283|0.144438|0.124296|0.109226|0.0962578|0.0868013|0.0774106,79.0644|91.8267|93.8044|95.0756|95.8244|96.3578|96.7911|97.26|97.4622|97.78,90.56|92.86|94.34|95.4|95.64|96.04|96.44|96.72|96.36|96.8,90.4746|92.8452|94.3204|95.4021|95.6253|96.0298|96.4435|96.7273|96.3502|96.8019,950|0|1|0|1|2|2|0|5|2|0|1148|3|2|3|0|0|3|4|1|1|3|938|6|4|1|1|5|8|2|0|5|6|995|1|11|0|8|5|2|1|0|7|0|947|0|6|0|6|27|1|4|4|15|0|822|6|0|11|6|5|1|3|0|2|7|969|0|4|0|1|3|5|5|2|0|0|1014|2|13|2|5|3|8|1|2|3|0|957|1|1|2|0|8|12|3|0|8|7|949
