seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
2,relu,relu,0,interleave,128,0.003,10,ce,ok,45.0973,99.2533,97.46,97.4254,97.39,97.369,97.68,8,0.424442|0.157536|0.107843|0.0796437|0.0633856|0.0520123|0.0418949|0.0353441|0.027496|0.0234124,87.3533|95.2667|96.7978|97.62|98.0267|98.3956|98.7444|98.8933|99.1978|99.2533,93.52|95.06|96.04|97.02|97.38|97.46|97.62|97.68|97.16|97.46,93.4221|94.968|95.981|96.9765|97.334|97.4178|97.5671|97.6508|97.1292|97.4254,978|0|1|1|0|2|14|1|2|5|0|1083|11|1|0|0|0|1|2|1|2|1|930|3|4|1|8|2|3|1|0|1|11|986|0|9|0|3|13|6|1|2|1|0|957|0|5|2|2|13|1|0|1|6|1|883|18|0|6|2|2|1|0|0|2|1|984|0|0|0|2|1|9|0|6|1|1|1000|5|10|2|1|3|3|1|4|11|0|984|2|2|1|0|0|1|8|0|7|3|954
1,relu,relu,0,interleave,128,0.003,10,ce,ok,45.4348,99.3178,97.02,96.9898,96.98,96.9542,97.6,9,0.415732|0.155954|0.105204|0.0797909|0.0630533|0.0512565|0.0404483|0.0352109|0.0273758|0.0218637,87.92|95.3111|96.8711|97.5133|98.0422|98.4|98.7067|98.9044|99.16|99.3178,93.68|95.58|96.46|96.66|96.76|97.2|97.3|97.46|97.6|97.02,93.6014|95.5004|96.3906|96.6194|96.73|97.1609|97.2675|97.4269|97.5719|96.9898,981|0|1|0|1|5|1|1|10|4|0|1083|5|0|2|0|0|0|7|2|3|4|916|3|5|3|7|0|14|0|0|2|9|954|0|30|0|2|19|13|0|0|1|0|960|0|5|1|4|12|1|0|1|1|0|902|5|0|7|1|2|1|1|0|6|9|969|0|2|0|0|0|5|0|8|2|1|1007|10|2|2|0|1|2|1|20|2|0|977|6|3|0|0|0|4|12|0|6|2|949
3,relu,relu,0,interleave,128,0.003,10,ce,ok,44.9686,99.36,97.56,97.5261,97.46,97.4434,97.56,10,0.420133|0.15707|0.105936|0.0807508|0.0629814|0.0502709|0.0406022|0.0324369|0.0265667|0.0209376,87.7444|95.3|96.7467|97.5067|98.0622|98.4533|98.6778|99.0156|99.1911|99.36,93.58|95.48|96.54|96.94|96.68|97.3|97.12|97.34|97.2|97.56,93.4958|95.4252|96.4985|96.8928|96.6437|97.2549|97.0782|97.2986|97.1659|97.5261,992|0|3|2|1|0|2|1|3|0|0|1086|9|0|0|0|1|1|2|0|4|2|932|5|3|0|4|1|4|0|0|1|15|994|0|4|0|2|11|2|1|3|3|0|953|1|4|5|4|9|2|0|2|10|0|886|10|0|7|1|2|1|2|0|5|0|979|0|1|0|4|0|10|0|5|0|1|1011|3|1|2|3|3|10|1|3|11|0|978|0|7|1|0|4|3|6|0|10|10|935
4,relu,relu,0,interleave,128,0.003,10,ce,ok,44.9497,99.3556,97.58,97.5529,97.55,97.5323,97.58,10,0.427242|0.159743|0.108295|0.0825081|0.0644506|0.051392|0.0413283|0.0340526|0.0267954|0.021631,87.6422|95.3044|96.7511|97.4378|98.0356|98.3267|98.6978|98.9533|99.2089|99.3556,93|95.9|96.4|96.94|97.2|97.42|97.52|97.44|97.06|97.58,92.9885|95.8504|96.3501|96.9031|97.1566|97.3738|97.4897|97.395|97.0432|97.5529,985|1|1|0|1|4|4|1|4|3|0|1090|5|1|1|0|0|1|1|0|3|6|928|5|1|2|3|1|5|1|0|3|5|991|0|9|0|4|11|6|0|2|2|0|959|1|6|2|2|9|0|0|2|8|0|890|10|1|4|3|3|1|0|1|1|2|981|0|1|0|2|1|6|0|6|1|1|1007|6|5|1|2|4|8|1|5|7|0|980|3|3|1|0|2|6|4|0|13|3|944
5,relu,relu,0,interleave,128,0.003,10,ce,ok,44.5434,99.28,97.66,97.6307,97.45,97.4256,97.66,10,0.412562|0.158418|0.108669|0.0819257|0.0646184|0.0518945|0.041897|0.0350577|0.0274569|0.0234119,87.8444|95.2244|96.7378|97.5444|98.0711|98.3689|98.7133|98.9444|99.1533|99.28,93.42|95.48|96.42|96.7|96.48|96.7|97.12|97.22|97.46|97.66,93.3609|95.4463|96.3695|96.668|96.4419|96.6351|97.0828|97.2031|97.4322|97.6307,983|0|4|1|1|2|1|3|5|4|0|1086|6|0|0|0|1|0|5|1|2|3|930|3|3|0|4|5|4|1|0|1|13|991|0|9|0|3|9|3|0|0|3|0|954|0|1|1|3|21|1|0|3|10|0|883|6|1|8|6|4|1|2|1|11|4|964|0|2|1|0|1|5|0|4|1|1|1015|3|5|2|0|2|4|1|4|6|1|987|4|2|0|0|1|1|3|0|13|4|952
6,relu,relu,0,interleave,128,0.003,10,ce,ok,44.9882,99.3178,97.44,97.4032,97.45,97.421,97.62,8,0.429257|0.159419|0.110584|0.082435|0.0661547|0.0516648|0.0420786|0.0345042|0.0286713|0.0223057,87.5|95.2533|96.6889|97.4333|97.9222|98.3511|98.7644|98.9444|99.1267|99.3178,93.86|95.5|96.3|96.54|97.08|97.1|97.1|97.62|97.46|97.44,93.7885|95.4328|96.2651|96.5095|97.0231|97.0673|97.0748|97.5992|97.4262|97.4032,992|0|1|1|0|1|2|0|5|2|0|1091|5|0|1|0|0|0|1|1|4|6|928|5|5|0|3|1|2|1|0|2|12|998|0|4|0|4|8|1|1|2|1|0|957|1|1|4|3|13|4|1|4|19|0|867|8|0|13|2|4|1|2|0|5|0|975|0|3|0|1|0|8|0|2|2|1|1015|2|4|3|4|2|7|1|4|6|0|982|2|6|0|1|5|3|4|0|8|9|940
1,tanh,tanh,0,interleave,128,0.01,10,ce,ok,52.2532,99.6911,97.66,97.6361,97.56,97.5403,97.66,10,0.297113|0.136038|0.0942308|0.0716548|0.0535149|0.03996|0.0309469|0.0223895|0.0162161|0.0112335,91.0089|95.8644|97.1156|97.6222|98.24|98.76|99.0022|99.2933|99.5222|99.6911,94.98|96|96.52|97.04|96.88|97.3|97.16|97.48|97.54|97.66,94.9134|95.9369|96.471|97.0189|96.8485|97.2646|97.129|97.4475|97.5252|97.6361,988|0|1|2|2|2|0|1|5|3|0|1085|5|1|1|0|0|1|6|0|3|0|929|7|3|1|1|3|7|1|0|2|9|997|0|8|0|5|4|4|0|1|1|0|963|0|3|1|0|14|0|2|2|11|3|883|6|1|8|2|5|1|0|1|6|7|965|0|5|0|0|1|3|5|1|1|0|1018|2|4|1|2|2|13|3|4|3|1|981|1|1|0|0|2|4|7|0|12|3|947
2,tanh,tanh,0,interleave,128,0.01,10,ce,ok,52.9686,99.7178,97.9,97.8674,97.68,97.6584,97.9,10,0.301304|0.136544|0.0944291|0.0698697|0.0534535|0.0407464|0.0294005|0.0224395|0.0145209|0.00959008,90.9933|95.8667|96.9867|97.7356|98.2644|98.6667|99.0822|99.26|99.5844|99.7178,94.96|95.28|96.14|95.34|97.22|97.5|97.34|96.6|97.64|97.9,94.881|95.1994|96.0646|95.2534|97.1794|97.4768|97.3091|96.5313|97.6059|97.8674,981|0|3|1|1|1|8|0|2|7|0|1087|7|1|0|1|0|1|2|0|3|0|936|2|3|1|5|3|2|0|0|1|11|1001|0|5|0|3|3|5|0|1|3|0|952|0|4|2|3|18|1|0|3|11|3|885|7|1|4|3|3|1|0|0|4|0|980|0|2|0|2|0|8|0|3|0|0|1015|3|4|1|2|3|9|1|4|10|0|980|1|2|0|0|1|4|2|0|10|6|951
3,tanh,tanh,0,interleave,128,0.01,10,ce,ok,52.3486,99.6844,97.54,97.4991,97.41,97.3904,97.66,9,0.30073|0.135877|0.0947163|0.0728454|0.0547512|0.0407638|0.0296889|0.0242445|0.0196827|0.0107659,90.9911|95.92|97.0311|97.6667|98.2111|98.6867|99.0444|99.2311|99.34|99.6844,93.84|95.72|96.08|97.16|96.82|97.52|97.12|97.2|97.66|97.54,93.7603|95.6377|96.0214|97.1147|96.7638|97.4887|97.075|97.1681|97.6142|97.4991,981|0|3|1|2|7|3|1|4|2|0|1088|7|0|0|0|0|1|2|1|1|2|935|3|3|1|4|0|6|0|0|2|12|990|0|6|0|3|12|4|0|3|3|0|940|1|6|2|5|23|0|2|3|15|1|884|8|0|4|1|2|1|1|0|4|1|979|0|2|0|1|3|8|2|4|0|1|1006|7|3|0|1|2|7|1|3|9|1|984|3|5|0|0|2|1|3|0|6|5|954
4,tanh,tanh,0,interleave,128,0.01,10,ce,ok,53.1991,99.7222,97.66,97.6326,97.64,97.622,97.66,10,0.303933|0.13871|0.0971359|0.0711169|0.0527483|0.0381189|0.0285203|0.0213659|0.0144355|0.00971388,90.9689|95.8089|96.92|97.6178|98.3644|98.7422|99.0556|99.3156|99.5956|99.7222,93.84|95.9|96.62|96.98|97.04|97.14|96.98|97.5|97.5|97.66,93.8165|95.8483|96.5758|96.9399|97.0076|97.1057|96.9457|97.4618|97.4669|97.6326,980|0|3|2|1|4|3|0|8|3|0|1092|1|0|1|0|0|2|3|0|1|4|923|9|3|1|4|4|5|1|0|2|3|1005|0|5|0|4|8|2|0|2|3|0|964|1|3|2|1|7|0|1|2|10|2|886|6|1|6|4|3|1|2|0|2|1|978|0|3|0|0|1|3|0|5|1|0|1019|4|2|0|2|1|13|2|6|6|1|975|5|1|0|0|2|7|2|0|17|5|942
