seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
20,relu,relu,0,interleave,12,0.003,10,mse,ok,11.9219,93.3467,92.32,92.1575,92.48,92.3609,92.56,9,0.0535708|0.0208185|0.016753|0.0148046|0.0135876|0.012771|0.0122726|0.0117544|0.0113948|0.0110557,61.6756|88.2556|90.2444|91.1556|91.8289|92.2178|92.5689|92.92|93.2022|93.3467,85.5|89.4|90.32|90.72|91.6|92.02|92.32|92.46|92.56|92.32,85.1787|89.222|90.1593|90.5789|91.4304|91.8581|92.1946|92.3193|92.4254|92.1575,972|0|2|2|6|4|5|1|11|1|0|1063|14|6|1|1|3|5|6|0|15|3|873|12|13|4|11|7|15|2|2|3|29|932|4|25|3|10|16|5|3|5|1|1|949|0|8|2|3|11|19|6|12|33|18|779|19|6|23|3|6|1|4|0|20|3|953|0|3|0|2|2|13|8|17|3|0|977|0|13|6|8|9|14|8|18|16|0|915|17|15|2|2|6|71|8|1|24|12|835
3,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.9472,94.0489,93.04,92.9319,93.26,93.1831,93.04,10,0.0383103|0.0163567|0.0137491|0.0123215|0.0114594|0.0109934|0.0104858|0.0101962|0.00987781|0.00968424,75.28|89.9689|91.5111|92.4467|93.0133|93.2422|93.5356|93.7133|93.9822|94.0489,88.4|90.18|91.54|92.4|92.44|92.32|91.68|92.62|91.3|93.04,88.2492|89.9901|91.4021|92.2647|92.3544|92.2148|91.545|92.5193|91.1459|92.9319,982|0|1|1|2|4|5|0|6|3|0|1057|21|1|0|2|2|3|12|1|15|6|886|11|8|1|13|4|9|2|7|3|29|937|0|25|3|10|10|5|2|2|6|1|898|1|22|7|7|37|14|4|2|22|3|838|24|1|10|0|8|0|7|0|4|7|963|0|1|0|0|4|11|6|5|3|1|990|1|14|10|11|10|29|2|36|17|1|883|12|12|0|0|14|14|11|0|20|13|892
1,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.9817,93.7,92.26,92.1424,93,92.9264,92.26,10,0.0401103|0.0159204|0.0137916|0.0126289|0.011975|0.0114521|0.0110267|0.0107676|0.0102866|0.010209,72.2133|90.2089|91.3244|92.0667|92.5289|92.8467|93.2067|93.3378|93.7178|93.7,89.66|90.26|90.92|90.96|91.68|91.72|91.9|91.8|92.1|92.26,89.4832|90.1293|90.8191|90.8025|91.5719|91.5848|91.7777|91.6554|91.9995|92.1424,972|0|5|1|3|3|6|0|13|1|0|1065|14|1|2|6|0|1|9|1|8|6|861|19|7|3|20|2|25|4|5|4|20|902|0|44|5|10|31|8|2|2|2|1|901|1|17|2|13|42|11|4|4|12|12|833|20|2|14|6|8|0|2|0|14|11|949|0|6|0|0|3|13|13|8|2|0|978|3|15|4|13|8|10|4|17|11|0|936|8|9|0|1|2|13|11|0|19|18|903
4,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.0092,93.6378,92.34,92.2494,92.89,92.8116,92.34,10,0.0443772|0.0166559|0.0139548|0.0125391|0.0118383|0.0112934|0.0107715|0.0104263|0.0100723|0.00997167,67.6756|89.6267|91.1756|92.1289|92.4622|92.86|93.2822|93.4111|93.6844|93.6378,87.2|89.96|91.2|90.86|91.86|90.86|91.74|91.56|91.98|92.34,86.8543|89.7913|91.041|90.6963|91.7341|90.7926|91.6192|91.4395|91.8796|92.2494,972|1|1|3|4|6|6|3|5|3|0|1054|12|9|1|7|2|4|9|1|10|4|880|6|13|2|21|5|7|7|6|8|19|933|1|29|4|9|12|8|3|1|5|0|900|2|16|6|2|48|11|4|4|25|6|828|20|7|10|3|13|0|4|0|7|6|952|2|4|2|1|0|19|7|7|2|0|981|2|16|5|6|20|17|10|21|15|0|899|18|9|0|2|13|20|12|1|14|15|890
2,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.0379,94.5289,92.68,92.5897,92.6,92.5363,93.36,6,0.0375336|0.0148261|0.0125816|0.011334|0.0106269|0.0101065|0.00955139|0.00934289|0.0091274|0.00881235,74.2578|90.8267|92.1467|92.9422|93.4067|93.6867|94.0867|94.1733|94.3244|94.5289,89.36|90.58|91.96|92.58|92.88|93.36|93.02|93.28|93.36|92.68,89.1214|90.485|91.8315|92.4714|92.7961|93.281|92.9216|93.1746|93.2846|92.5897,955|0|4|1|3|14|7|5|14|1|0|1034|18|7|1|3|1|16|15|4|9|3|891|13|9|5|9|11|5|0|2|6|24|887|1|58|4|28|10|9|2|0|5|0|906|1|10|4|5|50|3|1|4|22|11|823|17|2|26|9|3|1|6|0|14|6|955|0|4|1|1|0|14|3|9|1|1|993|3|10|5|3|16|15|4|12|13|3|916|24|11|2|0|3|13|9|0|31|7|900
8,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.3294,93.8467,92.86,92.7699,93.16,93.0948,92.86,10,0.04073|0.01618|0.0141678|0.0129976|0.0121176|0.0116779|0.0113234|0.0108732|0.0104238|0.0100462,71.0978|90.12|91.2333|92.0178|92.5844|92.9178|93.0978|93.38|93.6022|93.8467,88.12|90.04|91.18|91.88|91.22|91.76|92.66|92.74|92.24|92.86,87.792|89.8704|91.0344|91.775|91.1755|91.6483|92.5513|92.6483|92.1413|92.7699,951|0|4|4|1|11|15|1|16|1|0|1063|18|0|2|6|3|2|5|0|4|4|874|21|6|6|11|3|22|4|7|2|19|928|0|26|6|10|23|8|0|3|1|1|923|2|20|3|5|25|9|8|4|19|12|832|15|4|12|3|4|0|4|1|14|8|952|0|7|0|1|0|22|6|13|8|0|966|0|19|1|10|8|13|4|18|13|0|935|9|9|5|0|2|20|14|0|12|22|892
6,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.4979,93.4067,92.26,92.1283,92.64,92.5611,92.26,7,0.0477425|0.0175748|0.0148676|0.0137878|0.0129894|0.0123755|0.0120462|0.0114335|0.011196|0.0107393,64.4956|89.2911|90.7867|91.4222|91.84|92.24|92.4867|92.84|93.0178|93.4067,88|89.98|89.5|91.4|90.94|91.78|92.26|91.58|91.82|92.26,87.8224|89.8112|89.271|91.2188|90.7634|91.6356|92.1376|91.431|91.6551|92.1283,946|0|5|3|5|15|15|1|13|1|0|1062|15|4|2|1|1|1|10|3|1|7|860|22|7|5|23|12|17|1|1|10|28|914|2|18|1|9|29|17|0|4|1|0|933|1|15|2|4|23|6|2|9|20|10|802|29|1|36|3|9|1|3|1|15|3|948|0|10|0|0|1|12|2|13|2|1|990|5|9|2|7|5|9|16|16|16|3|930|7|9|3|0|9|38|6|0|21|11|879
7,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.5221,93.2933,91.58,91.4816,92.05,91.9814,91.9,7,0.035805|0.0163972|0.0145373|0.0136697|0.0130103|0.0122588|0.0119091|0.0113871|0.0110767|0.0107859,76.3933|89.7111|90.84|91.4489|91.9044|92.38|92.5578|92.8867|93.0422|93.2933,89.3|90.68|91.1|91.26|91.08|91.12|91.9|91.54|91.58|91.58,89.1518|90.5232|90.9218|91.1625|90.9371|90.9997|91.8034|91.4129|91.4492|91.4816,943|1|10|6|2|10|10|10|10|2|1|1065|8|6|3|3|2|7|1|3|11|11|878|18|7|2|6|11|11|0|4|7|23|901|0|29|1|41|18|5|1|3|5|0|929|1|13|7|4|20|9|0|3|39|8|822|15|10|11|1|7|1|7|0|20|14|935|0|6|0|0|0|11|2|10|3|1|1003|0|5|2|23|12|30|14|29|14|9|869|9|8|3|1|6|23|16|1|52|6|860
5,tanh,tanh,0,interleave,12,0.01,10,mse,ok,13.5959,93.6978,92.34,92.2628,93.06,93.0267,92.44,8,0.0412044|0.0165071|0.0137008|0.0122197|0.0115068|0.011063|0.0106614|0.0102173|0.0100608|0.0098694,71.3178|90.0111|91.52|92.3467|92.7978|93.06|93.2933|93.5667|93.6578|93.6978,88.34|90.6|91.26|91.68|92.4|92.18|92.24|92.44|91.84|92.34,88.1553|90.418|91.175|91.5939|92.3168|92.0461|92.1387|92.3463|91.704|92.2628,950|0|2|2|4|12|6|2|26|0|1|1042|13|12|3|1|1|1|20|5|10|4|864|12|15|2|17|3|27|1|7|3|22|934|1|23|4|3|21|11|0|1|3|0|933|1|9|1|5|30|2|0|4|19|8|838|16|3|23|5|5|1|1|0|18|13|947|0|5|0|0|0|15|24|16|6|1|941|4|28|1|4|7|11|3|12|8|1|954|10|7|0|0|8|15|17|1|9|16|903
9,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.6901,93.7422,92.9,92.8253,92.8,92.7556,92.9,10,0.0420285|0.0157918|0.0135355|0.0124673|0.0119225|0.0113224|0.0108638|0.0105383|0.0102904|0.01003,70.5822|90.4933|91.5822|92.3156|92.5844|93.0444|93.2444|93.3756|93.7111|93.7422,88.64|90.38|91.26|91.5|91.82|92.04|91.98|92.74|92.46|92.9,88.4792|90.1962|91.1518|91.3365|91.7291|91.9259|91.8803|92.6377|92.3827|92.8253,954|0|2|3|3|9|8|1|24|0|0|1059|13|7|3|3|1|0|12|1|3|5|858|25|4|7|17|8|27|1|1|5|23|942|1|19|0|9|21|8|0|2|4|1|914|2|14|3|8|35|4|0|7|35|11|805|15|1|34|6|9|1|9|0|11|8|937|0|15|0|0|0|11|14|15|5|0|956|7|27|0|7|5|24|2|12|7|0|943|11|7|1|0|9|13|3|1|14|16|912
10,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.7017,92.5933,91.74,91.632,92,91.9341,91.74,10,0.0424511|0.016907|0.0150411|0.0140737|0.0135598|0.0131759|0.0127781|0.012461|0.0123487|0.011993,69.8333|89.5978|90.4378|91.0889|91.4978|91.6867|92.0822|92.24|92.2889|92.5933,88.2|90|90.42|89.62|90.66|91.28|90.82|91.14|90.52|91.74,88.0415|89.7841|90.2393|89.423|90.5296|91.1301|90.6592|91.0032|90.36|91.632,960|0|13|4|3|9|6|2|7|0|0|1041|16|9|4|3|1|1|23|1|11|7|873|17|4|10|13|6|13|1|1|3|40|911|3|31|3|5|29|3|9|3|3|1|925|0|16|1|5|20|6|1|9|32|13|821|12|1|20|3|7|1|11|0|9|11|942|1|8|0|2|10|13|9|26|9|2|945|6|13|1|3|9|15|8|23|11|0|937|4|12|1|1|7|60|22|3|12|13|845
11,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.7274,92.6822,91.52,91.4014,92.12,92.0414,91.72,9,0.0429204|0.0181923|0.0158755|0.0144276|0.0137644|0.0131162|0.0127266|0.0123777|0.012225|0.0119688,68.9933|88.76|90.2422|91.1756|91.5644|91.9311|92.2156|92.48|92.5467|92.6822,88.48|89.62|90.04|90.92|91.2|90.6|91.5|91.42|91.72|91.52,88.2704|89.4376|89.8821|90.7613|91.0494|90.4621|91.3547|91.2507|91.5527|91.4014,962|0|2|1|3|16|3|3|14|0|0|1057|14|2|2|2|1|2|17|2|12|6|847|22|10|4|22|12|20|0|4|4|25|878|0|64|6|6|38|4|1|4|4|1|897|1|25|4|2|44|6|1|3|14|1|843|24|4|16|6|3|1|3|0|13|20|941|0|9|0|0|1|14|10|8|5|0|976|5|16|2|4|1|11|2|17|32|0|935|7|5|3|0|3|30|20|1|26|12|876
12,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.7351,93.6667,92.36,92.2347,92.74,92.6741,92.36,10,0.0404704|0.0158896|0.013593|0.0124902|0.0118558|0.0113072|0.0110141|0.0105802|0.0103723|0.0103466,71.3|90.1733|91.6067|92.2978|92.6422|93.0422|93.3133|93.4756|93.6511|93.6667,88.04|90.76|90.84|91.52|91.78|92.14|91.4|91.5|91.84|92.36,87.8291|90.6362|90.6488|91.3869|91.6344|92.0386|91.2291|91.3448|91.74|92.2347,971|0|8|3|1|3|5|1|12|0|0|1064|13|3|2|2|1|1|12|1|11|3|887|9|5|2|12|5|21|0|17|3|34|896|0|33|2|9|20|15|2|2|5|0|907|0|20|9|7|31|14|1|7|16|5|845|13|3|12|2|21|1|10|1|11|10|932|0|4|0|2|7|12|10|9|5|0|971|1|18|8|14|6|19|2|19|13|2|920|8|5|1|0|6|20|16|3|33|11|881
16,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.9256,93.8933,92.58,92.48,92.78,92.7122,92.94,8,0.0371537|0.0144542|0.0126824|0.0118837|0.0113931|0.0109058|0.0107289|0.0103108|0.0100352|0.00985113,75.2133|91.1178|92.1|92.5089|92.8822|93.2111|93.2289|93.5911|93.7778|93.8933,89.84|90.06|91.74|92.3|92.46|92.28|91.5|92.94|92.8|92.58,89.7105|89.9147|91.6403|92.1617|92.3371|92.1365|91.3809|92.8305|92.7103|92.48,967|0|4|3|2|8|8|0|12|0|0|1066|13|4|1|4|1|2|7|1|14|10|859|23|8|4|9|9|17|2|5|8|19|928|0|33|3|7|20|6|1|2|2|2|883|4|7|3|6|73|6|3|4|29|10|825|10|2|24|5|8|0|3|0|13|8|947|1|10|0|0|2|13|8|11|4|0|980|3|14|3|12|4|31|2|17|4|2|925|11|6|2|0|8|10|13|0|24|15|898
14,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.9849,93.62,92.4,92.291,92.69,92.6337,92.4,10,0.0399565|0.0156177|0.0136505|0.0127095|0.0121815|0.0116828|0.0111906|0.010849|0.0106697|0.0104015,71.7111|90.3244|91.5022|92.04|92.4156|92.7689|93.0889|93.3467|93.4089|93.62,88.9|90.48|91.18|91.2|91.74|90.56|91.8|91.46|92.28|92.4,88.8372|90.3538|91.0714|91.1268|91.6552|90.4432|91.71|91.357|92.1776|92.291,963|0|2|4|4|9|7|2|8|5|0|1050|14|5|2|6|1|2|17|2|8|7|865|15|17|3|9|7|22|2|0|7|23|928|1|28|1|10|23|8|1|2|3|0|921|3|5|4|4|40|5|1|9|26|11|833|15|4|11|3|9|1|8|2|13|14|931|0|10|2|1|4|17|10|7|5|2|968|1|20|3|6|6|20|4|16|8|1|932|15|8|0|0|12|21|9|0|31|17|878
13,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.9974,92.8711,91.2,91.0279,91.64,91.5078,91.66,9,0.0399835|0.0171879|0.0152558|0.0141555|0.0135077|0.0127492|0.01245|0.0121597|0.0117397|0.0115961,72.6156|89.3267|90.3311|91.1556|91.54|92.0956|92.3156|92.3756|92.7667|92.8711,86.48|88.16|90.06|90.14|90.84|91.06|91.08|91.08|91.66|91.2,86.2754|87.8789|89.9156|90.0061|90.7372|90.9071|90.9477|90.9604|91.5465|91.0279,973|0|3|3|4|2|9|0|5|5|1|1057|14|9|3|3|0|3|9|0|14|7|864|13|10|3|17|11|13|3|11|7|39|919|3|15|3|12|14|6|1|2|5|0|912|1|16|4|4|38|18|5|6|40|15|748|34|6|39|7|7|1|10|0|6|4|959|0|3|0|1|3|18|9|13|0|0|975|0|16|8|13|13|36|13|14|16|2|885|11|8|1|4|9|21|7|3|32|19|872
15,tanh,tanh,0,interleave,12,0.01,10,mse,ok,12.0061,92.7244,90.86,90.6919,91.95,91.8596,91.84,7,0.0424933|0.0178148|0.0151394|0.0141394|0.0133842|0.0128431|0.012466|0.0121252|0.0119216|0.0116728,70.5156|89.1067|90.5644|91.1978|91.7178|92.0356|92.3311|92.5044|92.7044|92.7244,87.46|89.6|91.04|90.92|90.2|91.68|91.84|91.46|90.46|90.86,87.2105|89.4404|90.929|90.8328|89.9807|91.5296|91.712|91.336|90.3794|90.6919,941|0|17|3|2|10|18|2|11|0|1|1068|14|1|1|1|7|1|4|1|9|13|838|10|11|3|41|6|23|1|2|8|30|922|2|17|7|11|23|7|0|4|2|2|940|1|14|0|1|19|3|3|3|35|8|808|34|3|15|6|3|1|2|0|9|4|969|0|2|0|0|2|8|8|18|2|4|967|1|25|6|21|8|32|9|19|14|0|889|13|4|3|2|5|58|7|3|22|19|853
17,tanh,tanh,0,interleave,12,0.01,10,mse,ok,10.9996,92.3311,91.1,90.9456,91.83,91.7265,91.14,9,0.046804|0.018728|0.0163281|0.0152474|0.0142839|0.0137505|0.0133386|0.0132082|0.0127869|0.01252,65.6244|88.6978|89.8489|90.4733|91.1467|91.5533|91.7044|91.8689|92.1844|92.3311,87.82|88.22|89.62|90.98|90.42|90.08|90.98|90.32|91.14|91.1,87.7385|87.9516|89.525|90.8396|90.2924|89.9121|90.8348|90.1663|90.9823|90.9456,954|0|6|2|3|15|10|1|12|1|1|1055|10|9|3|2|2|7|8|2|15|8|842|17|5|8|19|20|16|5|2|4|35|923|2|27|1|18|11|6|2|2|2|0|907|3|20|9|3|35|8|2|6|37|14|804|28|4|12|3|9|1|3|0|11|9|949|3|4|1|0|2|11|6|8|5|1|993|0|9|4|15|18|31|4|26|20|5|873|15|7|2|1|16|31|8|3|21|4|883
20,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.0307,93.1422,91.84,91.7411,91.84,91.7641,92.12,8,0.039633|0.0166509|0.0145087|0.0132814|0.0125802|0.0121085|0.0116816|0.0114573|0.0110969|0.0108701,72.4933|89.6378|90.88|91.6356|92.0933|92.3556|92.6178|92.7533|93.0556|93.1422,87.58|90.12|91.3|91.12|91.46|91.18|91.62|92.12|91.54|91.84,87.3807|89.9552|91.1974|91.0179|91.3586|91.0557|91.5311|92.0337|91.4111|91.7411,974|0|3|7|3|2|6|2|7|0|1|1042|12|11|2|1|3|8|9|10|13|5|851|26|11|2|19|7|20|1|9|9|26|927|2|17|4|15|14|6|1|4|2|0|905|3|11|4|2|51|19|1|9|30|2|792|38|5|16|6|12|2|5|0|25|10|932|0|4|0|3|3|9|6|11|2|1|976|1|23|7|7|11|25|4|9|24|2|900|22|14|3|1|11|13|6|1|29|13|885
19,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.1367,93.6578,92.12,91.9597,92.51,92.4088,92.48,7,0.0414499|0.016709|0.0143796|0.0131991|0.0123469|0.0117416|0.0112708|0.0109275|0.0107666|0.0103303,70.7622|89.7422|91.0289|91.7644|92.2889|92.7333|92.9822|93.1822|93.3089|93.6578,88.38|90.3|90.86|91.36|91.92|92.42|92.48|91.78|92.06|92.12,88.2553|90.1542|90.7093|91.2457|91.8005|92.2936|92.3596|91.6574|91.9268|91.9597,966|0|2|2|1|2|13|1|15|2|0|1066|10|2|1|8|1|3|7|1|8|6|876|9|5|2|25|11|12|1|9|4|28|872|3|54|5|12|37|5|2|3|1|1|884|2|29|3|6|52|14|1|10|17|6|802|27|4|31|6|4|0|1|0|5|4|969|1|5|1|1|0|8|5|10|2|0|993|5|11|3|12|6|13|4|12|18|1|936|6|12|3|0|5|14|8|2|21|24|887
18,tanh,tanh,0,interleave,12,0.01,10,mse,ok,11.1935,92.9089,91.62,91.49,92.16,92.0807,91.62,10,0.0444157|0.0207974|0.0154147|0.0141497|0.013552|0.013202|0.0128206|0.0123177|0.0120118|0.011718,67.0044|86.4511|90.6244|91.38|91.7444|91.9244|92.1778|92.5067|92.7467|92.9089,83.4|89.08|90.58|90.44|90.66|91.4|90.86|91.16|91.04|91.62,79.6409|88.7948|90.431|90.2442|90.4822|91.2523|90.736|91.0459|90.9238|91.49,958|1|5|1|4|21|2|0|11|1|0|1064|17|2|0|6|1|3|5|1|7|7|891|7|10|4|12|6|11|0|4|9|49|864|0|48|3|12|33|7|0|2|6|0|904|6|16|2|9|38|5|7|5|28|5|832|15|3|12|6|7|0|15|0|18|16|929|0|4|1|0|3|17|7|12|5|0|973|3|15|4|11|14|13|3|33|11|1|914|7|9|2|0|3|15|20|0|14|26|887
2,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,15.0051,93.6356,92.02,91.9461,92.29,92.2548,92.62,6,0.0333477|0.0165146|0.0143052|0.0131997|0.0125272|0.0118598|0.0114535|0.0112691|0.0109518|0.0108183,77.6844|90.1844|91.4933|92.1222|92.5289|92.9578|93.2644|93.4267|93.5978|93.6356,89.46|90.88|91.22|90.86|92|92.62|92.06|92.4|92.1|92.02,89.2455|90.7546|91.0604|90.7933|91.8651|92.5062|91.9656|92.2745|91.9244|91.9461,976|0|3|4|2|0|2|1|16|0|0|1036|21|7|1|3|2|1|23|5|11|1|875|7|11|2|12|2|30|4|4|2|33|902|0|46|3|10|21|8|1|0|1|0|865|2|9|3|11|91|15|1|6|30|1|834|12|1|9|9|17|1|8|0|12|12|928|0|11|1|0|0|18|9|7|1|0|950|4|46|5|0|15|18|2|9|5|1|941|15|15|0|0|3|9|10|0|7|10|922
3,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,14.9329,93.9244,93,92.9028,93.37,93.3183,93,10,0.0387191|0.016621|0.0138574|0.0125057|0.0117215|0.0112133|0.0107838|0.0105737|0.0102247|0.00997284,73.7022|90|91.5533|92.3911|92.9111|93.1022|93.5422|93.5378|93.8511|93.9244,88.44|90.54|90.78|92.3|92.28|92.54|92.5|92.52|92.84|93,88.2282|90.427|90.81|92.1716|92.1686|92.4464|92.4068|92.4287|92.782|92.9028,971|0|3|1|4|0|5|3|17|0|1|1061|12|6|1|0|1|0|15|2|7|6|881|8|11|1|18|2|20|1|4|8|26|942|0|6|4|6|25|8|0|2|2|0|924|0|16|3|6|30|13|4|3|24|9|816|21|2|22|4|5|1|1|0|16|6|956|0|5|0|2|0|17|11|10|3|0|973|2|17|6|12|8|14|8|12|16|1|928|6|11|1|2|11|21|10|1|19|15|885
1,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,15.1107,94.0111,93.12,93.0304,93.23,93.1784,93.12,10,0.0410489|0.0176944|0.0143794|0.0126894|0.011854|0.011316|0.0109459|0.0104136|0.010143|0.00992939,71.3356|89.3067|91.3133|92.3444|92.8778|93.1467|93.3711|93.7067|93.9356|94.0111,87.06|90.56|91.64|92.1|92.42|92.04|92.78|92.48|93.06|93.12,86.9101|90.3712|91.5071|91.9852|92.3193|91.8977|92.6703|92.3895|92.9754|93.0304,958|0|2|4|3|13|6|2|14|2|0|1056|13|6|3|1|1|4|10|5|5|5|860|17|10|5|9|13|30|1|2|5|14|928|0|27|3|14|29|7|0|1|1|0|941|2|7|2|0|29|3|0|4|24|20|834|11|6|12|4|5|2|6|1|11|15|935|0|13|2|1|2|5|8|17|2|1|985|4|10|3|11|4|12|7|25|2|5|932|10|8|0|0|7|21|12|0|19|15|894
4,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,15.0762,93.3867,91.74,91.6642,91.9,91.8579,92.66,9,0.0341108|0.0174028|0.0150874|0.0139144|0.0129222|0.0121626|0.0118297|0.0113556|0.0110595|0.0107509,76.9156|89.5644|90.98|91.6267|92.2067|92.6244|92.7911|93.06|93.2889|93.3867,88.52|89.94|90.62|91.48|92.1|92.06|91.52|92.24|92.66|91.74,88.3121|89.8479|90.5026|91.3635|91.9779|91.9263|91.4144|92.1189|92.5573|91.6642,957|0|3|4|5|17|4|1|11|2|0|1047|21|12|1|1|1|3|8|5|11|5|859|22|11|3|10|11|22|1|6|3|27|949|3|9|1|8|17|6|3|2|2|0|868|2|6|3|5|92|7|0|9|57|5|798|11|2|18|11|11|2|10|0|8|3|929|0|25|2|0|4|8|17|8|2|0|963|13|20|2|6|8|23|9|12|7|2|921|21|8|0|0|10|12|6|1|23|17|899
5,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,25.2152,93.0978,91.84,91.7366,92.1,92.0208,91.84,10,0.0437425|0.0188254|0.0156126|0.0141552|0.0132327|0.01278|0.0120719|0.0118114|0.0114018|0.011118,69|88.5267|90.3822|91.2956|91.9044|92.1|92.5311|92.7|92.98|93.0978,86.24|88.98|90.48|90.92|91.52|91.4|91.18|91.44|91.82|91.84,86.0396|88.7002|90.3384|90.7834|91.3892|91.262|91.0922|91.4131|91.69|91.7366,962|0|7|1|2|7|10|4|11|0|1|1043|17|9|3|1|3|3|16|3|18|3|860|14|5|5|22|11|9|8|0|5|28|881|1|75|5|15|11|8|0|0|4|1|896|3|8|5|6|60|7|0|4|10|8|852|19|6|11|1|3|1|3|0|5|13|960|1|2|2|0|0|8|3|16|2|1|981|0|24|1|5|16|36|11|33|13|0|871|25|7|0|0|3|19|12|2|21|8|904
6,tanh,relu,0.5,interleave,12,0.01,10,mse,ok,25.2604,92.8489,92.3,92.1983,92.67,92.6107,92.3,10,0.0421521|0.0207577|0.0175295|0.0157331|0.0145394|0.0136575|0.0131481|0.0124931|0.0119276|0.0116229,70.3667|87.5711|89.18|90.3022|91.0156|91.5844|91.9089|92.24|92.6956|92.8489,86.04|88.8|90.02|90.1|91.06|91.56|91.08|91.06|91.84|92.3,85.6399|88.6838|89.8995|89.9544|90.9323|91.4479|91.0158|90.9672|91.7344|92.1983,957|0|5|4|8|5|8|5|11|1|0|1050|19|2|2|3|0|8|14|1|5|5|845|24|8|5|10|26|24|3|3|1|17|929|0|32|1|22|15|9|1|2|1|1|910|3|6|3|21|35|7|0|4|29|6|818|16|5|30|3|8|1|6|0|18|11|937|0|7|2|1|0|6|4|8|3|0|1002|4|7|0|6|8|21|9|8|10|7|928|14|4|2|0|7|18|9|0|31|14|891
