seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
1,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,203.937,99.6822,98.2,98.2011,98.33,98.3078,98.2,10,0.274932|0.113791|0.0801201|0.058122|0.0440015|0.0340891|0.0248201|0.0186345|0.0153572|0.00973273,91.4156|96.4378|97.4711|98.0756|98.56|98.8533|99.1689|99.3356|99.5133|99.6822,95.72|95.98|97.3|97.62|97.5|97.52|97.82|97.2|97.54|98.2,95.69|95.9912|97.2918|97.6116|97.5078|97.5192|97.8226|97.2041|97.5303|98.2011,952|0|1|0|1|0|4|0|3|2|0|1155|2|1|2|0|0|3|1|0|1|2|951|5|1|0|1|4|4|0|0|0|8|1009|0|9|0|5|1|1|0|0|2|0|979|0|6|2|1|4|0|1|1|3|0|848|5|0|6|5|3|0|0|0|2|5|979|0|2|0|0|1|4|3|6|1|0|1025|1|4|3|2|4|2|1|3|1|0|964|2|2|0|0|1|8|0|0|5|3|971
2,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,203.945,99.7689,97.9,97.9067,98.17,98.1507,97.92,9,0.272035|0.116202|0.0771713|0.0588946|0.0451613|0.0317769|0.0245225|0.0187485|0.0134666|0.00782228,91.6689|96.4511|97.5556|98.1133|98.4556|98.9378|99.1644|99.4156|99.5578|99.7689,95.66|96.68|96.38|96.84|97.78|97.7|97.62|97.8|97.92|97.9,95.6532|96.6748|96.3901|96.8663|97.7874|97.6962|97.6138|97.8048|97.9216|97.9067,945|0|5|1|1|1|3|0|5|2|0|1157|3|0|0|0|0|4|0|0|0|1|956|0|2|0|1|2|5|2|0|4|5|1007|1|8|0|5|2|1|0|0|3|0|964|0|11|2|3|11|0|1|3|9|0|842|4|0|5|5|2|1|1|0|0|0|985|0|2|0|0|1|10|0|1|0|1|1024|1|7|1|4|3|3|1|0|2|0|967|1|3|0|1|6|0|1|0|6|3|970
3,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,204.048,99.7244,97.88,97.8804,98.04,98.0189,98.12,9,0.270296|0.114614|0.0768803|0.0562942|0.0426852|0.033642|0.0257429|0.0185926|0.0127721|0.00817171,91.7778|96.3956|97.5489|98.1911|98.5822|98.9089|99.1333|99.3889|99.5556|99.7244,95.5|96.54|97.22|97.78|97.4|97.68|97.78|98.04|98.12|97.88,95.5343|96.5445|97.2431|97.7815|97.4064|97.6797|97.7777|98.0325|98.1123|97.8804,958|0|1|1|0|0|1|0|1|1|0|1153|1|1|2|0|0|4|2|1|3|3|938|10|2|0|2|2|9|0|0|0|5|1006|0|12|0|7|2|1|0|0|2|0|978|1|3|3|1|6|0|0|0|7|0|853|2|0|4|3|4|2|0|1|2|4|977|0|1|0|0|1|4|2|4|1|0|1026|1|6|3|9|1|3|2|7|1|1|950|5|4|0|1|0|7|6|0|5|2|965
4,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,204.663,99.6511,98,97.9961,98.34,98.3141,98,10,0.27194|0.112379|0.0766691|0.0543475|0.0448628|0.0322305|0.0251733|0.0217342|0.0146991|0.011002,91.6733|96.5844|97.6111|98.2689|98.5044|98.9244|99.1556|99.2622|99.5044|99.6511,95.74|96.44|97.36|97.2|97.62|97.82|97.7|96.76|97.74|98,95.727|96.4376|97.3557|97.1948|97.6149|97.8012|97.697|96.7803|97.7495|97.9961,957|0|0|1|1|1|3|0|0|0|0|1155|1|1|0|1|0|2|3|1|1|2|951|5|3|0|1|4|2|0|0|1|4|1000|0|19|0|5|3|1|0|0|2|0|971|2|5|2|2|10|0|0|0|3|0|856|6|1|2|1|3|0|0|0|2|1|985|0|0|0|0|1|3|1|2|2|0|1028|1|7|3|4|1|0|0|6|7|0|959|2|3|0|0|1|3|6|0|4|1|972
5,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,202.158,99.6289,97.8,97.794,97.98,97.9452,97.8,10,0.271053|0.114592|0.080016|0.0575991|0.0453644|0.031484|0.0278939|0.0180136|0.0133964|0.0115659,91.7289|96.4978|97.38|98.1356|98.5222|98.9289|99.0467|99.4022|99.5289|99.6289,95.78|96.48|96.78|97.18|97.62|97.46|97.2|97.74|97.74|97.8,95.7727|96.4743|96.7879|97.1633|97.6101|97.4471|97.209|97.7327|97.7353|97.794,958|0|0|0|1|0|0|0|2|2|0|1157|1|0|2|0|0|3|1|0|8|1|930|4|4|0|3|5|13|1|1|2|6|986|0|27|0|5|4|2|0|0|1|0|975|0|4|3|2|9|0|0|1|3|0|852|6|0|3|4|3|0|0|1|2|4|980|0|1|0|0|1|4|2|2|0|0|1024|1|11|3|1|1|3|1|3|2|1|964|3|3|0|0|0|7|1|0|6|1|972
6,tanh,relu,0.5,interleave,256,0.01,10,ce,ok,202.227,99.7933,97.78,97.7828,97.92,97.8918,98.08,9,0.270342|0.114457|0.0783878|0.056031|0.0424095|0.0354099|0.0267573|0.0166354|0.0110806|0.00696361,91.7489|96.3711|97.5911|98.1889|98.6089|98.8178|99.0778|99.4578|99.6444|99.7933,95.62|97.14|97.4|96.76|97.82|97.04|97.72|97.72|98.08|97.78,95.6076|97.1288|97.3903|96.7497|97.8176|97.0356|97.7277|97.7183|98.0742|97.7828,952|0|2|1|1|1|1|0|4|1|0|1147|2|2|1|0|0|4|7|1|0|1|950|4|1|0|1|5|5|2|0|0|6|1011|0|9|0|4|3|0|0|0|3|0|957|0|3|4|4|23|1|0|0|11|2|840|6|0|7|2|3|0|0|1|2|4|978|0|3|0|2|0|4|2|1|1|0|1028|1|6|2|0|2|5|0|2|1|0|968|2|4|0|0|3|5|4|0|6|7|961
1,tanh,relu,0.5,block,256,0.01,10,ce,ok,202.377,99.6578,98.2,98.2015,98.29,98.2736,98.2,10,0.27461|0.113724|0.0801947|0.058252|0.0422253|0.0337038|0.0236868|0.019206|0.0143224|0.0104948,91.4733|96.44|97.4111|98.0711|98.6622|98.9133|99.1978|99.3067|99.5244|99.6578,96.06|95.74|97.22|97.54|97.44|97.08|97.28|97.54|97.54|98.2,96.0521|95.7647|97.2202|97.5449|97.4504|97.0688|97.2867|97.5417|97.5286|98.2015,954|1|0|0|1|0|4|0|2|1|0|1161|1|0|0|0|0|1|1|0|0|4|948|4|3|1|1|3|5|0|0|2|4|1010|0|7|0|6|3|1|0|0|2|0|978|1|4|1|1|7|0|1|1|4|1|851|4|0|4|3|2|1|0|1|1|5|979|0|2|0|0|2|5|2|4|0|0|1026|1|5|3|8|1|3|1|2|2|0|959|3|4|0|0|1|9|2|0|8|3|963
2,tanh,relu,0.5,block,256,0.01,10,ce,ok,202.288,99.7422,97.98,97.9805,98.25,98.2297,97.98,10,0.272259|0.113824|0.0771702|0.0574588|0.0442164|0.0327273|0.0241438|0.0186774|0.0132428|0.00772769,91.6622|96.42|97.6044|98.1778|98.5511|98.8733|99.2089|99.3578|99.5622|99.7422,95.86|97.14|95.8|96.22|97.34|97.54|97.5|97.72|97.66|97.98,95.8664|97.1387|95.8208|96.2444|97.3392|97.5436|97.5038|97.7234|97.6553|97.9805,956|0|0|1|1|0|2|0|2|1|0|1159|1|1|1|0|0|2|0|0|3|1|948|7|4|1|1|2|2|0|0|2|5|1011|0|10|0|3|2|0|0|0|3|1|972|0|6|4|2|6|0|0|1|5|1|850|5|0|2|5|3|0|0|0|1|1|984|0|2|0|0|1|5|1|1|0|1|1029|1|6|2|5|4|11|1|0|4|0|951|4|3|0|0|6|4|3|0|4|5|965
3,tanh,relu,0.5,block,256,0.01,10,ce,ok,202.126,99.7444,97.96,97.9618,98.22,98.1978,98.16,9,0.2691|0.11563|0.077716|0.0573784|0.0418855|0.0348213|0.0265753|0.0172976|0.0113819|0.00854285,91.8667|96.4622|97.5378|98.2|98.6378|98.8689|99.1022|99.3889|99.6778|99.7444,95.68|96.48|97.12|97.5|97.32|97.68|97.76|97.6|98.16|97.96,95.7002|96.4747|97.1361|97.501|97.3156|97.6728|97.7611|97.5972|98.1621|97.9618,953|0|2|0|1|0|3|0|2|2|0|1156|1|0|2|0|0|3|1|1|0|2|948|6|2|0|2|4|4|1|0|1|4|1010|0|10|0|4|3|1|0|0|2|0|968|2|8|3|1|10|0|0|2|2|0|850|4|0|5|6|2|0|0|0|0|3|982|0|4|0|0|1|6|2|2|0|0|1021|1|12|3|4|1|2|1|4|2|0|961|4|3|0|0|2|6|2|0|3|1|973
4,tanh,relu,0.5,block,256,0.01,10,ce,ok,202.184,99.6689,97.94,97.9363,98.1,98.064,97.94,10,0.271048|0.113961|0.0769328|0.0561243|0.0439282|0.0330894|0.0240708|0.0178714|0.0155258|0.0100017,91.7711|96.4822|97.6111|98.1778|98.4756|98.9133|99.1911|99.3911|99.4733|99.6689,95.8|96.52|97.32|97.24|97.3|97.64|97.68|96.32|97.66|97.94,95.7906|96.515|97.3159|97.2198|97.2862|97.6198|97.6784|96.3562|97.6646|97.9363,959|0|0|0|1|1|0|0|0|2|0|1157|2|1|1|0|0|3|0|0|1|2|944|6|3|1|5|3|2|2|0|0|5|980|0|36|0|5|3|4|0|0|3|0|976|1|3|1|1|9|0|0|1|0|1|860|2|0|4|1|3|2|1|0|1|4|980|0|0|0|0|1|3|0|3|2|0|1030|1|5|3|5|2|3|0|8|2|1|954|4|3|0|0|1|4|6|0|6|0|970
