seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
101,tanh,tanh,0,interleave,128,0.003,10,mse,ok,94.7475,97.1556,96.5,96.5017,96.24,96.2003,96.5,10,0.0358381|0.0140818|0.011246|0.00954621|0.00829938|0.00733521|0.00656929|0.00594471|0.0054171|0.00498694,78.8067|91.8378|93.3667|94.3489|95.1111|95.7244|96.14|96.5333|96.8422|97.1556,90.66|92.38|93.3|94.28|94.9|95.48|96.02|96.12|96.48|96.5,90.5617|92.3296|93.2589|94.2508|94.8826|95.4682|96.014|96.1141|96.4755|96.5017,945|0|1|1|1|1|6|0|7|1|0|1144|3|5|5|1|0|2|3|1|4|3|916|6|10|3|5|8|12|2|0|4|8|977|1|19|1|13|6|4|2|1|8|0|947|0|8|1|3|24|1|1|5|6|1|837|5|0|5|8|5|1|3|1|2|8|967|0|4|0|0|2|7|6|4|1|0|1000|2|23|2|5|3|10|2|12|3|0|941|4|4|1|2|10|10|4|0|6|3|950
103,tanh,tanh,0,interleave,128,0.003,10,mse,ok,94.7,97.04,96.18,96.1775,96.23,96.1916,96.18,10,0.036094|0.0142272|0.0115284|0.00992963|0.00875519|0.00779233|0.00697849|0.00628256|0.00571342|0.00522308,78.2733|91.7422|93.0956|94.1644|94.7756|95.3911|95.8911|96.34|96.72|97.04,90.62|92.12|93.18|93.94|94.58|95.08|95.3|95.84|96|96.18,90.5083|92.0446|93.1326|93.9091|94.5488|95.0541|95.2838|95.8322|95.9979|96.1775,946|0|0|1|1|2|2|0|10|1|0|1131|3|5|4|4|0|3|13|1|3|3|917|3|12|4|5|6|15|1|1|3|3|977|1|19|1|12|14|2|2|0|6|0|953|0|8|3|5|17|1|0|3|9|3|828|9|1|10|5|8|1|1|1|4|7|965|0|4|0|1|1|7|8|5|1|0|1015|0|7|2|3|2|7|5|5|1|1|954|2|5|0|2|7|12|4|0|19|4|937
102,tanh,tanh,0,interleave,128,0.003,10,mse,ok,94.7432,96.9911,96.12,96.1127,96.09,96.0443,96.12,10,0.0355339|0.0140611|0.0112808|0.0096906|0.00852671|0.00758925|0.0068545|0.0062404|0.00568925|0.00522001,78.3178|91.8289|93.3222|94.2556|94.9778|95.5311|95.9489|96.3444|96.7644|96.9911,90.38|92.4|93.14|93.72|94.7|95.08|95.6|95.76|96.04|96.12,90.2593|92.3321|93.0841|93.6758|94.687|95.0599|95.5894|95.7479|96.027|96.1127,948|0|0|1|1|1|4|0|7|1|0|1138|4|3|5|3|0|2|8|1|5|2|920|7|7|4|9|5|7|3|1|5|6|971|1|20|2|12|11|4|2|0|10|0|941|1|10|1|2|27|1|0|3|4|2|829|13|0|4|13|7|1|2|0|2|5|971|0|3|0|2|2|10|6|8|2|0|1001|1|13|4|3|5|5|2|3|4|0|953|3|6|1|2|9|16|5|1|9|4|937
101,tanh,tanh,0,interleave,128,0.01,10,mse,ok,93.1234,98.72,97.52,97.529,97.37,97.3501,97.52,10,0.0208713|0.00935295|0.00692905|0.00557498|0.00466054|0.00404345|0.00348651|0.00306131|0.00264728|0.00233982,87.0333|94.2933|95.8622|96.7444|97.3089|97.6711|98.0533|98.28|98.5444|98.72,92.92|94.74|96.1|96.46|96.48|96.86|97.12|97.3|97.16|97.52,92.8789|94.7468|96.095|96.4587|96.4826|96.8569|97.1307|97.299|97.1548|97.529,945|1|2|1|1|2|4|0|5|2|0|1148|4|1|3|0|0|3|3|2|2|3|936|7|7|0|1|6|6|1|0|4|3|993|0|12|0|10|6|5|1|0|8|0|963|1|6|0|1|14|0|2|2|8|0|839|5|0|6|7|3|1|0|0|2|5|977|0|3|0|0|4|3|3|4|0|0|1014|1|16|2|4|1|3|2|3|2|0|960|5|3|0|1|5|10|2|0|6|1|962
101,tanh,tanh,0,interleave,128,0.03,10,mse,ok,91.9251,99.0022,97.32,97.3261,97.45,97.4288,97.32,10,0.0155389|0.00754374|0.00575269|0.00461003|0.0037819|0.00335054|0.00274871|0.00244649|0.00210906|0.0017835,90.1222|95.3933|96.4978|97.2711|97.7822|98.0289|98.3956|98.5778|98.8133|99.0022,94.08|95.44|95.72|96.36|96.6|97.02|97.12|97.18|97.3|97.32,94.0624|95.4548|95.711|96.3755|96.61|97.0231|97.1397|97.1788|97.3048|97.3261,944|1|1|1|2|1|7|0|5|1|0|1150|3|0|4|1|0|3|2|1|3|1|936|7|2|0|4|9|6|1|0|2|5|994|1|11|0|9|5|6|0|0|7|0|965|0|7|0|1|14|0|2|3|4|1|840|7|0|6|6|1|1|3|0|2|3|979|0|2|0|0|3|6|1|4|0|0|1014|1|16|2|5|0|4|3|3|3|1|951|10|2|0|0|1|8|1|0|5|1|972
103,tanh,tanh,0,interleave,128,0.01,10,mse,ok,92.9468,98.6889,97.1,97.1051,97.22,97.1783,97.1,10,0.0210409|0.00964875|0.0072739|0.00576541|0.00480736|0.00412267|0.00348859|0.00308316|0.00273168|0.00239358,86.9844|94.0444|95.6311|96.5356|97.1644|97.6489|98.0711|98.2956|98.5|98.6889,93.5|94.04|95.68|96.12|96.48|97.08|96.82|97.08|96.98|97.1,93.4521|94.0112|95.6698|96.1294|96.4659|97.0768|96.8303|97.081|96.997|97.1051,946|0|0|0|1|6|4|0|4|2|0|1142|3|2|4|1|0|3|8|1|1|1|941|6|4|2|3|3|7|1|1|0|3|981|0|31|0|8|7|2|1|0|3|0|961|3|7|2|4|13|0|0|3|3|1|856|2|0|3|1|5|1|0|0|1|13|968|0|3|0|0|0|9|6|3|7|0|1009|1|10|3|0|3|5|0|7|1|0|962|1|2|0|0|3|9|8|0|8|4|956
102,tanh,tanh,0,interleave,128,0.01,10,mse,ok,93.2104,98.6244,96.78,96.768,97.34,97.3064,97.18,9,0.0207212|0.00950681|0.00715043|0.00576809|0.00480447|0.00410057|0.00360673|0.00317033|0.00281263|0.00249367,87.2089|94.2111|95.6844|96.5244|97.2111|97.68|97.92|98.2111|98.4178|98.6244,92.76|94.84|95.62|95.72|96.54|96.64|96.44|97.08|97.18|96.78,92.6803|94.8223|95.6082|95.7144|96.5397|96.6403|96.4272|97.0788|97.1805|96.768,958|0|0|1|1|0|0|0|2|1|0|1145|5|2|5|0|0|2|4|1|7|1|942|3|6|1|2|2|4|1|4|4|5|984|1|15|0|9|7|4|2|0|4|0|963|0|7|1|2|15|6|0|3|4|1|832|11|0|6|6|7|1|1|0|2|1|976|0|3|0|0|2|13|5|3|0|0|1013|1|8|5|0|5|3|1|1|2|0|963|2|6|0|1|5|10|3|0|4|3|958
102,tanh,tanh,0,interleave,128,0.03,10,mse,ok,90.7705,98.9933,96.98,96.9805,96.99,96.9605,97.5,9,0.015712|0.0076191|0.00568838|0.00463958|0.00389657|0.00325859|0.00278158|0.00239199|0.00208863|0.00178664,89.9378|95.3756|96.5356|97.2711|97.6711|98.0978|98.4044|98.6333|98.8111|98.9933,94.6|95.76|96.08|95.8|96.98|97.18|97.2|97.32|97.5|96.98,94.559|95.7548|96.0818|95.7956|96.9809|97.1919|97.2017|97.3159|97.4979|96.9805,952|0|0|0|1|0|4|0|4|2|0|1138|5|1|4|1|0|1|13|1|7|1|947|1|2|1|3|2|5|0|3|1|11|966|1|20|0|6|11|14|1|0|4|0|969|2|7|1|4|6|4|0|4|1|0|846|6|0|4|4|4|0|2|0|2|2|977|0|4|0|3|0|17|10|8|2|0|993|1|11|3|0|6|0|1|4|0|0|965|3|2|0|1|1|21|5|0|7|7|946
103,tanh,tanh,0,interleave,128,0.03,10,mse,ok,90.6748,99.0644,97.22,97.2213,97.2,97.1633,97.52,8,0.0157433|0.00764042|0.00568931|0.00450643|0.00384018|0.00328266|0.00265274|0.00234658|0.00196825|0.00173236,89.9822|95.3622|96.5267|97.3556|97.7578|98.1111|98.4933|98.6422|98.9178|99.0644,94.44|95.36|96.14|96.38|97.12|97.32|97.22|97.52|97.34|97.22,94.4264|95.3364|96.1267|96.3877|97.1122|97.3225|97.2332|97.5216|97.3445|97.2213,952|0|0|0|1|1|3|0|3|3|0|1140|1|5|4|0|1|3|10|0|5|1|926|7|9|5|2|4|9|1|0|0|2|976|0|31|0|9|12|3|2|0|2|0|967|2|5|3|3|10|1|0|1|5|1|851|3|0|5|2|5|0|0|0|2|5|977|0|2|0|0|0|6|4|5|2|1|1007|2|18|2|0|1|3|0|5|2|0|966|3|1|0|0|1|10|10|0|5|5|958
101,tanh,relu,0.5,interleave,128,0.003,10,mse,ok,89.6729,97.5556,96.94,96.9417,96.71,96.6799,96.94,10,0.0377386|0.0137164|0.0109277|0.00916001|0.00785209|0.00682049|0.00601518|0.0053849|0.00483712|0.00441829,76.3356|92.0333|93.5467|94.5978|95.4244|96.0133|96.5089|96.9378|97.3178|97.5556,90.86|92.64|93.46|94.48|95.12|95.56|96.06|96.34|96.52|96.94,90.7899|92.6007|93.4294|94.4554|95.1019|95.5438|96.0512|96.331|96.5101|96.9417,943|0|2|1|1|3|4|0|8|1|0|1142|4|5|5|2|0|3|2|1|5|3|926|7|8|0|3|10|5|2|0|4|7|987|1|12|1|13|5|3|1|0|7|0|958|0|8|2|1|17|3|1|6|3|1|838|4|0|5|8|6|1|2|1|2|6|969|0|4|0|0|2|9|2|4|0|0|1013|1|14|3|4|5|10|4|7|2|1|944|2|3|0|1|7|15|3|0|8|2|951
102,tanh,relu,0.5,interleave,128,0.003,10,mse,ok,89.6895,97.58,96.88,96.8825,96.49,96.4572,96.88,10,0.0357087|0.0138109|0.0108474|0.00900147|0.00761574|0.0065903|0.00583902|0.00522069|0.00473211|0.00432574,77.7111|91.8578|93.58|94.7867|95.6311|96.2156|96.6489|97.1044|97.3689|97.58,90.3|92.78|93.78|94.46|95.36|95.7|96.14|96.38|96.68|96.88,90.1852|92.7429|93.7481|94.4463|95.35|95.6909|96.1453|96.3712|96.6758|96.8825,948|0|0|1|1|1|3|0|8|1|0|1140|4|3|4|0|0|1|11|1|3|3|923|8|9|2|4|4|10|3|0|2|5|975|1|18|1|10|15|6|2|0|4|0|946|0|9|1|4|28|1|1|3|4|1|830|10|0|9|10|6|1|0|0|2|2|973|0|7|0|1|2|10|4|6|0|0|1006|1|15|4|3|2|4|2|2|3|0|958|4|5|0|1|6|14|4|0|6|4|950
103,tanh,relu,0.5,interleave,128,0.003,10,mse,ok,89.4236,97.7444,96.72,96.723,96.71,96.6851,96.72,10,0.0369023|0.0137007|0.010715|0.00880144|0.00746564|0.00645874|0.00567231|0.00506982|0.00457345|0.00416528,76.5244|91.9867|93.6467|94.78|95.6133|96.2089|96.78|97.1778|97.5089|97.7444,90.7|92.6|94.18|95.04|95.58|95.86|96.34|96.54|96.52|96.72,90.5977|92.5421|94.1586|95.028|95.5643|95.8448|96.3359|96.5344|96.5241|96.723,949|0|1|1|1|1|2|0|7|1|0|1136|3|8|4|2|0|2|8|1|2|2|911|20|9|2|3|8|12|0|0|2|1|1000|1|14|0|7|5|3|0|0|7|1|955|2|7|1|3|18|1|0|3|8|2|839|4|0|9|3|8|1|0|1|3|6|967|0|5|0|0|1|4|11|5|2|0|1010|2|10|3|1|1|14|4|5|0|1|951|2|2|0|2|10|8|4|0|7|4|953
101,tanh,relu,0.5,interleave,128,0.01,10,mse,ok,89.0305,98.9267,97.66,97.6686,97.83,97.811,97.66,10,0.0211887|0.00868196|0.00620907|0.00486705|0.00401674|0.00346637|0.00294234|0.0025624|0.00222593|0.00199754,86.4178|94.8467|96.3067|97.1578|97.6867|98.0311|98.3689|98.6289|98.8111|98.9267,93.2|95.16|96.12|96.72|96.86|97.04|97.3|97.14|97.28|97.66,93.1736|95.1655|96.1213|96.7155|96.8614|97.031|97.3103|97.1404|97.2791|97.6686,953|1|0|1|1|0|3|0|3|1|0|1153|3|0|2|0|0|3|3|0|2|3|950|3|4|0|0|6|1|0|0|3|3|1000|0|12|0|9|5|1|1|0|3|0|971|0|6|1|1|11|2|3|4|3|1|843|5|0|2|6|3|1|0|0|2|4|979|0|2|0|0|1|5|1|4|0|0|1023|1|10|4|5|1|9|2|6|2|1|949|3|3|1|0|4|7|1|0|11|1|962
102,tanh,relu,0.5,interleave,128,0.01,10,mse,ok,89.0323,98.9444,97.38,97.3742,97.72,97.6939,97.5,9,0.0207049|0.00860425|0.00614768|0.00493607|0.00399697|0.00342755|0.00296921|0.00258412|0.00226578|0.00198788,86.8889|94.8044|96.3778|97.0911|97.7422|98.0556|98.32|98.5356|98.7711|98.9444,93.04|95.82|95.8|96.24|97.08|96.6|97.38|97.3|97.5|97.38,92.9936|95.8158|95.804|96.2306|97.0695|96.6136|97.3732|97.3048|97.5023|97.3742,956|0|0|0|1|0|1|0|4|1|0|1150|4|0|2|0|0|3|5|0|3|1|946|2|4|1|1|5|5|1|1|2|10|988|2|9|0|7|10|4|1|0|3|0|976|0|3|1|2|8|4|0|4|1|0|839|9|0|10|2|5|0|1|0|2|0|979|0|4|0|1|1|9|1|6|0|1|1023|1|2|3|3|5|1|1|0|2|0|966|1|4|1|0|1|19|4|0|8|4|949
103,tanh,relu,0.5,interleave,128,0.01,10,mse,ok,88.9904,98.9644,97.5,97.502,97.75,97.7143,97.5,7,0.0209589|0.00832306|0.00595468|0.00467989|0.00388919|0.00327874|0.00278757|0.00246965|0.00218994|0.00189597,86.5689|94.9533|96.4533|97.28|97.76|98.1578|98.46|98.6778|98.7822|98.9644,94.32|95.04|96.16|96.1|97.02|97.28|97.5|97.4|97.38|97.5,94.3031|95.0166|96.1551|96.1236|97.0139|97.283|97.5098|97.3853|97.4011|97.502,954|0|0|0|1|1|3|0|2|2|0|1147|1|3|3|0|0|4|5|1|4|1|940|5|6|1|3|3|6|0|0|1|5|980|2|32|0|5|8|0|0|0|3|0|970|2|5|1|3|10|0|0|1|2|1|852|5|0|7|1|5|1|0|0|1|3|979|0|2|0|0|0|8|0|1|1|0|1021|1|13|2|2|1|0|0|3|2|0|971|1|2|0|0|1|6|8|0|6|6|961
101,tanh,relu,0.5,interleave,128,0.03,10,mse,ok,88.2702,99.08,97.56,97.5694,97.93,97.9055,97.56,10,0.0152879|0.00660957|0.00489466|0.00397784|0.00317345|0.00280832|0.00245191|0.00204662|0.00194827|0.00167727,89.9444|95.9533|97.0556|97.6111|98.1556|98.3711|98.58|98.82|98.8889|99.08,94.98|96.32|96.96|96.7|96.94|97.42|97.4|97.48|97.52|97.56,94.9808|96.3287|96.967|96.712|96.9476|97.4269|97.4093|97.4812|97.5264|97.5694,955|0|0|0|2|1|2|0|1|2|0|1159|2|0|0|0|0|3|0|0|3|5|940|7|2|1|1|4|4|2|0|2|4|1006|1|11|0|4|3|2|2|1|0|0|970|1|5|1|1|13|1|1|2|4|1|849|6|0|2|3|4|1|0|0|1|6|978|0|1|0|1|2|7|2|4|0|0|1019|1|9|2|7|1|6|1|6|5|0|947|7|2|0|0|5|7|2|0|4|0|970
102,tanh,relu,0.5,interleave,128,0.03,10,mse,ok,88.1691,99.0489,97.36,97.3561,97.64,97.6072,97.52,7,0.0149863|0.0065532|0.00479724|0.00397198|0.00324048|0.00285338|0.00236582|0.00204014|0.00182914|0.00166085,90.26|95.9689|97.1333|97.6311|98.0956|98.3467|98.62|98.8244|98.9556|99.0489,95.2|96.38|96.6|96.98|97.34|97.2|97.52|97.2|97.26|97.36,95.1783|96.3817|96.5874|96.974|97.3391|97.2065|97.5166|97.2009|97.261|97.3561,952|0|0|1|2|1|3|0|3|1|0|1152|2|1|0|0|0|2|6|1|3|1|940|9|5|1|1|3|6|0|1|0|5|1001|0|16|0|3|4|3|1|1|1|1|967|2|3|2|1|15|1|0|3|5|1|848|4|0|5|2|5|0|0|0|2|3|978|0|3|0|1|2|5|11|1|2|1|1007|1|14|2|2|2|5|1|8|4|1|954|3|5|0|0|3|8|6|0|3|0|965
103,tanh,relu,0.5,interleave,128,0.03,10,mse,ok,88.1581,99.0178,97.3,97.3076,97.8,97.7671,97.54,8,0.0149697|0.0066476|0.00498267|0.00389642|0.00337966|0.00290399|0.00251173|0.00208422|0.00179836|0.00170087,90.3133|95.9378|96.9356|97.6867|97.98|98.2956|98.5622|98.7733|98.9889|99.0178,94.64|96.04|96.4|96.76|97.38|97.5|97.24|97.54|97.54|97.3,94.6287|96.0558|96.394|96.7619|97.3815|97.5004|97.2533|97.5346|97.5419|97.3076,952|0|0|0|1|0|6|0|2|2|0|1153|2|1|2|0|0|3|3|0|3|2|945|7|4|1|1|4|1|1|0|0|9|1005|1|12|0|3|1|2|0|0|1|0|967|1|5|1|2|17|0|0|4|5|2|846|5|0|6|1|5|0|2|0|0|3|979|0|2|0|0|0|7|3|2|1|0|1026|1|5|3|0|4|12|1|4|4|4|946|4|2|0|2|3|7|3|1|8|3|961
