seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
102,relu,relu,0,interleave,512,0.001,10,ce,ok,2152.95,54.2778,49.4,49.8982,50.78,51.3735,49.82,9,1.89208|1.67714|1.58177|1.51746|1.46735|1.42315|1.38388|1.34922|1.31606|1.28385,31.4622|39.9333|43.5378|45.9|47.4978|49.2289|50.6044|51.8311|53.2889|54.2778,36.7|41.88|43.28|45.96|47.02|48.62|49|48.72|49.82|49.4,35.5478|39.719|42.6209|44.5596|46.023|47.7549|48.5986|47.0889|49.4861|49.8982,403|36|224|44|29|32|14|34|117|67|14|656|20|55|6|22|15|19|44|149|19|15|424|116|123|114|102|66|6|15|11|13|89|421|44|252|93|37|10|30|21|8|154|86|425|75|121|83|18|9|7|6|90|252|46|471|55|47|7|19|1|10|79|135|101|82|563|13|4|12|14|14|70|97|77|98|25|560|8|37|81|68|55|82|25|30|4|15|577|63|17|171|18|69|17|24|18|37|51|578
102,relu,relu,0,interleave,512,0.003,10,ce,ok,2153.18,54.24,50.7,50.8299,50.76,50.9818,50.7,10,1.84611|1.6553|1.56952|1.51121|1.4622|1.41689|1.37815|1.34381|1.30819|1.27728,32.9089|40.6489|43.5644|45.6356|47.2556|49.1444|50.4511|51.9644|53.1178|54.24,36.4|42.84|42.24|46.46|47.02|48.32|47.86|47.56|49.02|50.7,35.1328|40.3525|41.2498|45.0505|46.6331|47.5307|47.1101|45.9329|49.0203|50.8299,487|31|143|27|46|15|15|27|144|65|36|591|16|30|17|18|18|17|82|175|49|13|345|99|239|95|71|55|17|17|28|15|86|383|84|203|95|45|20|41|43|4|109|75|533|52|69|78|21|16|30|10|87|237|84|409|57|55|10|21|10|9|70|86|195|70|517|16|12|15|33|12|52|85|102|91|19|552|12|42|91|56|14|48|28|23|8|16|665|51|35|135|10|51|18|18|22|44|73|594
101,relu,relu,0,interleave,512,0.0003,10,ce,ok,2153.2,49.3578,47.34,46.6595,47.96,47.3277,47.34,10,2.02891|1.81657|1.71818|1.64949|1.59572|1.55201|1.51353|1.48041|1.45108|1.42424,27.0422|35.5156|39.1022|41.4489|43.1889|45.0978|46.2956|47.2044|48.5133|49.3578,32.6|36.44|39.82|41.26|44.54|45.1|45.58|46.4|46.32|47.34,30.0842|35.3241|38.844|40.641|43.9974|44.1744|45.2704|45.3194|44.7179|46.6595,587|39|63|20|27|8|24|20|189|23|36|694|14|29|12|8|16|15|100|76|115|37|374|115|104|39|134|34|38|10|56|32|105|421|52|100|125|25|50|34|80|20|206|70|378|29|130|41|36|10|33|26|129|287|67|246|95|50|51|16|16|19|103|113|98|30|581|11|25|4|59|38|85|94|123|50|39|429|38|45|124|71|13|37|12|3|10|8|691|31|49|288|16|46|16|6|29|28|127|395
101,relu,relu,0,interleave,512,0.001,10,ce,ok,2153.63,54.0889,50.44,50.0223,51.17,50.8725,50.44,10,1.89079|1.67592|1.58337|1.51902|1.46838|1.42493|1.38652|1.34893|1.31568|1.28571,31.82|39.8889|43.4778|45.7778|47.6956|49.2044|50.4311|51.7844|52.98|54.0889,35.38|41.26|43.66|45.64|47.08|47.54|47.54|48.68|49.58|50.44,33.1773|39.7211|42.1466|45.2356|46.6469|46.6737|47.2268|47.4791|48.2165|50.0223,622|30|60|32|27|7|19|11|162|30|36|671|20|35|10|3|11|13|113|88|94|17|500|112|103|25|71|34|29|15|49|26|119|428|73|96|108|29|44|28|64|12|220|80|413|18|108|42|35|8|37|12|151|320|58|245|66|50|47|14|10|19|124|113|91|24|584|7|20|8|46|27|120|91|97|30|28|481|39|41|133|55|13|29|15|5|13|6|704|27|45|219|15|63|16|6|25|23|119|469
101,relu,relu,0,interleave,512,0.003,10,ce,ok,2154.52,53.8511,49.32,49.0381,50.21,50.0898,49.32,10,1.84306|1.65884|1.57377|1.51788|1.46822|1.42605|1.38287|1.34738|1.31057|1.28074,33.1511|40.3956|43.6689|45.6511|47.2911|49|50.3422|51.8689|53.0644|53.8511,35.86|41.72|41.82|45.74|47.58|46.06|47|47.16|46.02|49.32,32.9489|39.8883|40.4955|45.3908|46.8883|45.4134|46.6172|46.4633|43.9029|49.0381,616|45|42|57|25|5|28|14|138|30|31|669|12|45|10|10|8|7|93|115|94|17|431|141|101|33|106|26|33|18|44|17|67|474|57|131|117|22|39|32|65|13|170|125|365|30|138|43|37|14|27|10|109|360|48|279|71|32|47|17|6|20|71|147|86|36|592|8|18|16|45|36|87|118|111|55|40|435|25|48|142|69|9|47|11|4|13|9|645|51|42|197|10|68|14|12|16|23|103|515
102,relu,relu,0,interleave,512,0.0003,10,ce,ok,2158.79,49.6289,46.78,47.1452,48.26,48.7329,46.8,9,2.03142|1.81675|1.71846|1.64777|1.59277|1.54692|1.50901|1.47639|1.44699|1.41971,26.7867|35.4844|39.0711|41.42|43.5|45.2044|46.5022|47.6|48.7378|49.6289,33.02|37|40.06|42.14|43.8|44.58|44.9|45.98|46.8|46.78,31.109|35.0429|39.1291|41.049|42.8889|43.1299|44.2455|44.1714|46.325|47.1452,416|39|144|82|21|24|14|56|138|66|16|633|12|57|8|26|14|31|50|153|35|34|359|170|116|79|106|77|11|13|11|21|77|512|33|191|61|42|12|40|29|15|165|129|370|73|96|93|18|12|5|12|83|320|47|369|51|75|19|19|2|12|79|225|104|69|462|28|10|9|17|18|54|118|67|83|24|568|14|37|73|81|47|78|24|20|6|18|583|70|20|183|12|90|15|21|16|44|45|554
102,relu,relu,0,interleave,512,0.01,10,ce,ok,2312.13,40.2556,37.22,36.0658,38.03,36.983,41.2,7,1.92352|1.80202|1.76919|1.74808|1.73961|1.72804|1.71576|1.70506|1.69906|1.68581,29.7911|35.0822|36.6778|37.56|37.9044|38.4978|39.1|39.6022|39.6267|40.2556,31.66|37.34|34.04|38.44|35.32|40.14|41.2|37.24|36.68|37.22,30.0051|34.8322|32.0399|36.3454|33.7717|39.4937|40.4283|35.0725|35.8854|36.0658,121|44|235|144|68|22|19|87|185|75|10|465|4|75|10|15|22|35|144|220|9|22|110|228|233|94|100|157|29|18|8|12|18|493|59|152|85|118|21|34|12|9|28|190|362|71|111|173|22|22|8|9|12|441|71|247|52|132|14|14|2|11|6|240|185|44|399|85|11|17|4|25|9|155|62|83|25|580|14|43|26|53|43|165|28|22|26|28|538|71|3|118|2|100|17|12|35|102|123|488
101,relu,relu,0,interleave,512,0.01,10,ce,ok,2313.2,40.4156,38.92,38.138,40.67,39.5054,38.92,10,1.92316|1.80328|1.77385|1.75338|1.73458|1.72221|1.71787|1.71465|1.70241|1.69171,29.7911|34.8556|36.3311|37.5267|38.4867|38.8289|39.1956|39.3378|39.7467|40.4156,32.34|36.24|36.2|33.04|38.46|37.66|34.04|35.96|36.72|38.92,28.2668|33.7065|33.9011|30.4907|37.6512|36.1307|34.2824|34.5778|34.1617|38.138,668|59|24|48|21|2|29|23|81|45|99|580|6|68|16|2|33|12|58|126|217|31|235|155|171|21|93|39|18|20|117|40|69|419|75|43|151|23|30|33|150|20|157|80|365|12|116|75|12|13|84|19|93|390|82|90|123|57|40|22|40|22|88|125|160|6|507|29|8|15|130|56|65|135|120|15|36|373|7|63|292|119|11|48|14|1|23|9|426|57|103|246|8|87|14|3|47|30|58|404
102,tanh,tanh,0,interleave,512,0.0003,10,ce,ok,2373.64,46.1444,44.42,44.2883,45.58,45.7234,44.42,10,1.97649|1.8164|1.76726|1.72853|1.68928|1.64625|1.60923|1.57915|1.55175|1.52699,29.8667|36.16|38.3622|39.2667|40.8489|42.1311|43.32|44.3467|45.1844|46.1444,34.92|36.14|38.48|39.08|40.14|42.64|42.1|42.74|44.06|44.42,33.9229|34.2624|37.4908|37.9551|39.5063|41.0821|41.3504|40.8703|43.5884|44.2883,405|50|108|71|20|35|12|78|157|64|20|596|16|65|13|27|12|47|55|149|44|37|290|151|128|135|77|107|18|13|11|32|59|446|42|239|41|74|16|40|26|20|117|117|355|119|62|151|20|13|5|32|54|243|54|431|34|103|23|21|2|24|63|244|135|125|338|42|13|14|13|41|32|96|57|106|13|586|14|42|68|88|27|62|18|40|4|32|577|84|25|188|11|72|15|21|22|70|42|534
101,tanh,tanh,0,interleave,512,0.001,10,ce,ok,2373.7,50.4644,47.78,46.6553,49.11,48.153,47.78,10,1.89062|1.74001|1.65186|1.59388|1.54597|1.50601|1.47289|1.44245|1.41408|1.38777,32.3933|38.2889|41.1778|43.0444|44.82|46.1533|47.5133|48.1378|49.5711|50.4644,32.26|38.9|41.16|41.52|44.9|45.58|45.68|47.64|46.68|47.78,28.9845|36.9841|39.9892|41.497|44.6309|44.6559|45.539|46.305|44.7669|46.6553,622|54|38|25|15|2|23|14|179|28|26|706|13|36|10|0|14|9|102|84|124|42|355|136|106|21|118|37|48|13|61|39|88|470|61|57|103|24|58|39|80|21|143|94|421|11|134|41|44|11|42|27|102|360|71|181|88|46|60|23|22|26|72|139|101|14|576|10|31|9|67|46|73|114|110|21|41|432|41|55|120|82|5|36|10|0|8|5|705|29|43|274|6|64|12|4|23|23|108|443
